Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Memphis Grizzlies*,82,19905,38.7,87.6,.442,8.7,24.8,.351,30.0,62.9,.478,16.1,21.6,.742,11.3,34.3,45.6,21.7,7.9,5.6,16.5,21.8,102.2,2016
Washington Wizards*,82,19955,38.1,87.9,.433,8.4,24.2,.349,29.6,63.7,.465,18.4,24.9,.738,10.5,33.4,43.9,21.0,8.4,4.5,14.7,20.7,103.0,2016
Atlanta Hawks*,82,19730,38.7,88.3,.439,9.3,27.3,.341,29.4,60.9,.483,16.3,21.4,.764,12.3,34.1,46.3,25.0,7.8,5.2,17.1,20.9,103.1,2016
Indiana Pacers,82,19855,38.3,88.0,.435,7.7,22.2,.345,30.6,65.8,.465,19.1,25.3,.753,10.4,35.1,45.5,21.2,8.0,5.0,13.6,22.8,103.2,2016
Houston Rockets*,82,19805,38.8,87.6,.443,7.6,23.6,.322,31.2,64.0,.487,18.2,24.2,.751,12.2,32.9,45.1,22.0,9.1,5.5,16.8,21.7,103.4,2016
Charlotte Hornets,82,19905,39.2,89.0,.440,8.4,23.6,.357,30.8,65.5,.470,16.8,21.7,.772,9.4,37.5,46.9,23.5,6.5,5.7,13.4,22.2,103.5,2016
Portland Trail Blazers*,82,19855,40.2,91.4,.439,6.7,19.9,.338,33.4,71.5,.468,16.7,22.0,.758,11.6,35.3,46.9,21.4,8.4,3.8,12.8,19.7,103.7,2016
Chicago Bulls*,82,19880,40.3,92.5,.435,7.0,20.9,.335,33.3,71.6,.465,16.8,22.4,.749,12.5,33.8,46.3,21.6,8.0,5.8,13.0,22.6,104.3,2016
Boston Celtics*,82,19880,39.4,87.5,.450,7.6,22.7,.336,31.7,64.7,.490,18.2,24.0,.755,11.2,34.9,46.2,22.6,7.3,5.4,15.6,19.5,104.5,2016
Philadelphia 76ers,82,19805,38.5,85.9,.449,8.3,23.8,.350,30.2,62.1,.487,19.4,25.6,.756,11.9,36.1,48.0,24.6,9.9,5.7,17.4,21.0,104.8,2016
Utah Jazz,82,19705,39.5,88.8,.446,8.1,22.5,.362,31.4,66.3,.474,17.6,23.7,.744,10.9,32.4,43.3,21.5,9.1,5.1,14.5,21.6,104.9,2016
Oklahoma City Thunder,82,19830,39.0,88.6,.440,8.6,25.1,.343,30.4,63.5,.479,18.9,25.3,.745,11.6,32.7,44.3,22.9,8.1,4.8,14.1,21.2,105.5,2016
Los Angeles Clippers*,82,19730,38.3,86.6,.442,8.8,25.2,.349,29.6,61.5,.481,20.0,27.0,.741,11.1,34.0,45.2,24.5,7.0,3.1,15.0,22.7,105.5,2016
Phoenix Suns,82,19880,39.5,87.4,.452,7.9,22.5,.352,31.5,64.9,.486,19.3,25.5,.759,11.9,34.7,46.6,21.7,8.2,4.2,16.0,20.9,106.2,2016
Cleveland Cavaliers*,82,19780,41.0,90.0,.456,8.3,24.3,.343,32.7,65.7,.497,16.0,21.4,.745,11.6,32.7,44.3,25.9,8.4,4.8,14.3,22.1,106.3,2016
Detroit Pistons,82,19830,40.5,88.9,.456,8.3,23.3,.355,32.2,65.6,.491,17.1,22.2,.772,11.4,35.7,47.2,25.4,7.5,5.1,14.9,20.7,106.4,2016
Dallas Mavericks*,82,19880,39.5,87.9,.450,9.4,25.8,.364,30.1,62.1,.485,18.0,23.8,.753,12.8,35.2,48.0,23.2,7.6,4.0,17.0,23.0,106.4,2016
Miami Heat,82,19730,39.6,87.3,.454,8.9,25.2,.353,30.7,62.0,.495,18.6,25.5,.730,12.0,33.0,45.0,23.4,8.6,4.8,16.3,22.9,106.7,2016
New Orleans Pelicans*,82,19780,41.3,90.5,.456,7.1,21.3,.335,34.1,69.2,.494,17.7,23.3,.759,11.6,33.7,45.2,22.6,7.4,6.3,13.3,20.4,107.3,2016
Brooklyn Nets*,82,19930,40.9,89.8,.456,9.0,25.2,.358,31.9,64.5,.494,16.6,22.7,.731,12.2,35.1,47.2,25.2,8.4,4.8,14.8,21.3,107.4,2016
Orlando Magic,82,19755,40.3,87.0,.463,8.8,24.0,.368,31.5,63.0,.499,18.3,24.3,.751,10.7,35.5,46.1,24.9,8.2,5.7,15.3,19.0,107.7,2016
Toronto Raptors*,82,19855,40.6,88.4,.459,8.2,23.8,.346,32.3,64.6,.501,18.4,25.0,.733,12.0,33.3,45.3,24.3,7.4,5.4,15.4,21.7,107.7,2016
Denver Nuggets,82,19880,39.7,86.8,.458,7.9,22.9,.346,31.8,63.9,.498,20.8,27.7,.748,11.3,35.1,46.4,23.8,7.7,6.3,14.8,21.3,108.2,2016
Sacramento Kings,82,19855,41.0,89.9,.456,9.1,26.1,.349,31.9,63.9,.500,18.0,24.1,.748,11.4,31.4,42.8,24.2,9.0,6.4,13.4,24.8,109.2,2016
New York Knicks,82,19855,40.2,87.4,.460,9.2,24.2,.380,31.0,63.2,.490,20.5,26.9,.759,11.9,35.4,47.3,23.6,8.7,4.7,15.3,20.7,110.0,2016
Los Angeles Lakers,82,19930,40.7,87.3,.466,8.9,24.6,.363,31.8,62.7,.507,20.2,27.1,.745,10.6,35.8,46.4,25.2,7.8,5.1,13.7,20.4,110.6,2016
Minnesota Timberwolves,82,19805,43.3,89.0,.487,8.9,24.4,.367,34.4,64.6,.531,16.6,21.9,.759,12.2,33.6,45.9,24.8,8.8,5.8,16.0,22.5,112.2,2016
San Antonio Spurs*,82,19705,38.0,87.2,.436,7.0,21.2,.331,31.0,65.9,.470,15.9,20.9,.758,9.7,33.5,43.2,22.2,7.7,4.1,15.8,20.7,99.0,2017
Atlanta Hawks*,82,19830,38.0,87.9,.432,8.5,25.0,.338,29.5,62.9,.469,17.0,22.6,.755,11.8,35.7,47.5,22.5,8.8,5.1,16.5,18.7,101.4,2017
Indiana Pacers*,82,19880,38.3,87.0,.440,8.5,25.4,.334,29.8,61.5,.484,17.8,23.7,.751,11.0,34.7,45.6,21.3,7.9,4.6,16.2,20.9,102.9,2017
Boston Celtics*,82,19780,37.9,85.9,.441,7.9,23.6,.336,30.0,62.4,.481,19.9,26.3,.755,11.5,35.0,46.5,21.1,7.7,5.5,16.6,21.2,103.6,2017
Los Angeles Clippers*,82,19830,38.1,87.8,.434,8.1,24.1,.338,29.9,63.6,.471,19.5,26.0,.751,12.2,36.1,48.4,22.0,7.4,3.3,15.9,23.3,103.8,2017
Golden State Warriors*,82,19880,38.7,89.1,.435,7.8,23.4,.332,31.0,65.7,.472,18.5,24.5,.757,11.4,32.4,43.7,22.2,8.6,4.1,14.4,19.8,103.8,2017
Utah Jazz,82,19955,38.6,86.6,.446,8.6,24.0,.357,30.0,62.5,.480,18.2,24.3,.746,10.1,33.3,43.4,20.7,8.6,5.1,15.1,21.5,103.9,2017
Charlotte Hornets*,82,19855,39.1,88.1,.444,9.2,26.3,.349,30.0,61.8,.485,16.9,21.9,.769,9.2,37.1,46.3,24.0,7.0,5.7,13.9,21.1,104.3,2017
Miami Heat*,82,19830,39.5,89.4,.442,7.8,22.5,.347,31.7,66.9,.474,17.5,22.8,.770,10.4,33.4,43.8,21.4,7.9,4.4,13.7,20.8,104.4,2017
Cleveland Cavaliers*,82,19855,39.1,87.3,.448,8.4,24.1,.347,30.7,63.2,.487,17.9,24.0,.743,9.8,33.7,43.6,22.8,7.6,4.7,14.2,21.9,104.5,2017
Toronto Raptors*,82,19780,39.1,87.9,.444,9.4,25.1,.373,29.7,62.8,.473,17.7,23.6,.748,10.2,33.5,43.7,23.3,7.0,5.8,14.3,23.5,105.2,2017
Detroit Pistons*,82,19880,40.4,87.6,.461,7.6,21.3,.355,32.8,66.3,.495,17.1,21.9,.783,9.2,35.1,44.3,22.4,7.4,4.6,14.0,22.5,105.5,2017
Oklahoma City Thunder*,82,19830,39.4,90.0,.438,8.3,24.4,.342,31.1,65.6,.474,18.4,24.4,.756,11.6,29.7,41.3,22.1,9.0,4.7,13.4,20.7,105.6,2017
Washington Wizards,82,19755,39.1,84.7,.462,9.1,24.5,.371,30.0,60.2,.498,18.5,24.0,.769,9.5,35.3,44.8,22.8,8.2,4.4,16.3,20.4,105.8,2017
Chicago Bulls,82,19905,40.7,92.4,.441,8.2,23.7,.345,32.5,68.6,.474,16.8,22.8,.737,12.2,35.2,47.4,23.3,8.2,5.9,12.3,19.3,106.5,2017
Orlando Magic,82,19905,39.6,86.0,.460,9.2,25.6,.359,30.4,60.4,.503,18.5,24.8,.746,10.5,35.2,45.6,23.9,7.8,5.6,15.6,18.8,106.8,2017
Dallas Mavericks*,82,20005,40.0,88.7,.451,9.5,27.6,.342,30.5,61.1,.500,17.6,23.8,.738,11.0,36.7,47.8,22.9,7.8,4.6,14.5,22.4,107.0,2017
New York Knicks,82,19805,40.4,91.3,.443,8.1,23.8,.341,32.3,67.4,.479,18.6,24.7,.754,11.5,35.5,47.0,22.1,7.6,4.5,12.0,19.7,107.6,2017
Memphis Grizzlies*,82,19830,38.2,83.8,.456,10.3,28.4,.365,27.9,55.5,.503,21.0,27.3,.768,10.8,35.2,45.9,23.3,7.5,6.1,17.2,22.5,107.8,2017
Portland Trail Blazers*,82,19805,39.7,87.7,.453,8.8,23.8,.371,30.9,63.8,.484,19.7,26.9,.734,10.9,34.3,45.2,22.3,8.0,5.4,13.7,20.2,108.0,2017
Houston Rockets*,82,19830,39.7,86.5,.459,9.9,27.4,.361,29.8,59.2,.504,18.9,25.0,.756,12.0,33.4,45.4,25.0,9.1,5.0,16.9,22.9,108.1,2017
Sacramento Kings,82,19805,40.3,87.2,.462,10.2,27.8,.366,30.2,59.4,.508,17.6,23.1,.762,11.2,33.5,44.7,24.1,8.8,5.3,15.9,21.8,108.4,2017
Milwaukee Bucks,82,19830,39.8,87.6,.454,9.8,27.9,.352,30.0,59.7,.502,19.3,25.2,.768,12.1,33.2,45.3,25.9,8.7,5.9,16.3,20.5,108.7,2017
Denver Nuggets,82,19830,40.2,87.3,.461,9.5,25.7,.371,30.7,61.6,.498,18.9,24.8,.761,10.1,34.1,44.2,24.3,8.3,6.5,14.2,21.6,108.9,2017
Phoenix Suns,82,19705,39.7,84.9,.467,9.5,25.2,.377,30.1,59.7,.505,20.2,26.9,.749,10.1,34.2,44.3,22.7,9.7,5.6,15.1,21.9,109.0,2017
Philadelphia 76ers,82,19805,40.2,86.7,.464,7.9,22.0,.359,32.4,64.7,.500,20.8,26.5,.786,11.3,37.0,48.3,23.7,8.8,5.8,15.4,19.4,109.2,2017
New Orleans Pelicans,82,19780,40.3,86.2,.468,9.5,25.6,.369,30.9,60.6,.510,19.4,24.7,.783,9.2,36.5,45.7,23.8,7.5,5.3,14.1,20.4,109.5,2017
Minnesota Timberwolves,82,19880,41.5,88.3,.471,9.4,26.5,.355,32.1,61.8,.520,17.7,23.4,.757,11.1,32.4,43.5,23.5,8.1,5.4,15.5,22.4,110.1,2017
Brooklyn Nets,82,19755,42.7,89.1,.479,9.9,26.8,.369,32.8,62.3,.526,15.7,20.5,.763,10.7,34.7,45.4,25.6,9.2,5.5,14.8,19.3,110.9,2017
Los Angeles Lakers,82,19730,42.3,89.4,.473,8.9,25.7,.347,33.4,63.7,.524,18.1,24.7,.731,11.4,37.1,48.5,25.7,7.9,5.8,13.2,20.0,111.6,2017
San Antonio Spurs*,82,19805,39.0,88.0,.443,8.6,25.0,.344,30.4,63.0,.483,16.9,21.9,.771,10.3,33.4,43.7,22.6,7.9,4.3,15.2,20.9,103.5,2018
Golden State Warriors*,82,19780,38.7,88.9,.435,9.0,27.7,.324,29.7,61.2,.485,17.6,23.2,.761,11.7,31.7,43.4,22.6,8.6,3.8,15.5,19.3,104.0,2018
Utah Jazz*,82,19755,39.5,89.2,.443,8.9,24.9,.358,30.6,64.3,.476,17.4,22.6,.769,9.8,33.9,43.7,19.4,7.9,4.1,13.2,22.0,105.3,2018
Atlanta Hawks*,82,19880,39.4,88.7,.444,11.1,31.0,.357,28.3,57.7,.491,15.9,20.6,.772,10.9,33.7,44.6,23.8,9.1,5.3,15.6,21.9,105.7,2018
Miami Heat,82,19780,39.6,88.0,.450,8.1,23.8,.343,31.5,64.2,.490,19.3,24.7,.782,10.7,34.9,45.5,20.5,7.1,5.1,14.3,19.5,106.7,2018
Chicago Bulls*,82,19780,41.2,90.4,.456,9.3,27.0,.345,31.9,63.4,.503,15.2,19.8,.770,10.7,34.4,45.1,24.7,7.7,4.8,14.0,19.6,107.0,2018
Detroit Pistons,82,19805,40.1,87.1,.460,9.8,26.8,.366,30.3,60.4,.502,17.2,22.0,.780,8.4,36.5,44.9,24.6,7.0,4.3,13.3,18.3,107.1,2018
Memphis Grizzlies*,82,19905,37.4,84.5,.443,10.6,30.0,.354,26.8,54.4,.492,21.7,28.8,.753,9.9,35.2,45.1,21.5,7.5,5.4,15.3,22.3,107.1,2018
New Orleans Pelicans,82,19905,40.4,89.8,.450,10.6,30.1,.353,29.8,59.7,.499,15.9,20.9,.762,10.7,38.0,48.7,23.6,7.4,4.3,14.1,19.4,107.4,2018
Oklahoma City Thunder*,82,19805,39.8,86.7,.459,9.0,25.2,.356,30.9,61.5,.502,18.9,24.7,.764,9.3,32.0,41.3,21.8,8.6,5.6,14.0,21.0,107.5,2018
Toronto Raptors*,82,19780,39.1,87.1,.449,10.2,28.7,.354,28.9,58.4,.495,19.5,25.0,.780,10.6,33.6,44.2,22.9,7.0,5.0,15.4,21.3,107.8,2018
Los Angeles Clippers*,82,19755,40.0,88.5,.452,9.5,27.2,.350,30.5,61.3,.497,18.7,24.2,.772,10.6,34.1,44.7,23.9,7.3,3.3,13.7,23.2,108.2,2018
Boston Celtics*,82,19755,39.8,88.3,.450,9.2,27.8,.332,30.5,60.5,.505,19.7,25.6,.769,11.1,34.8,45.8,23.2,7.8,5.3,14.3,20.9,108.4,2018
Charlotte Hornets,82,19830,40.9,89.7,.456,12.0,32.6,.369,28.9,57.1,.506,14.7,18.9,.776,9.3,36.8,46.1,25.4,6.8,5.7,13.5,20.6,108.6,2018
Indiana Pacers*,82,19855,39.3,87.1,.451,10.7,30.1,.355,28.6,57.0,.501,19.6,24.9,.789,11.1,34.7,45.7,23.1,8.3,5.1,15.4,20.2,108.8,2018
Dallas Mavericks,82,19780,39.9,85.2,.469,10.4,27.3,.380,29.6,57.9,.510,18.6,24.0,.772,9.6,38.5,48.0,22.9,7.0,3.7,16.1,20.9,108.8,2018
Philadelphia 76ers,82,19830,39.8,86.5,.461,9.0,25.1,.357,30.9,61.4,.503,20.3,26.2,.773,10.9,34.4,45.3,22.8,8.6,5.5,15.2,19.8,108.9,2018
Houston Rockets*,82,19780,40.9,88.4,.463,9.9,29.0,.343,31.0,59.4,.522,17.2,22.1,.778,10.7,33.2,43.8,24.0,8.5,5.0,15.0,20.3,109.0,2018
Washington Wizards*,82,19855,40.4,86.6,.466,10.1,27.6,.364,30.3,59.0,.514,18.5,24.6,.751,10.8,33.0,43.8,23.2,7.5,4.7,15.6,20.1,109.3,2018
Milwaukee Bucks*,82,19780,40.0,87.3,.458,10.5,29.7,.353,29.5,57.6,.512,18.8,24.4,.771,10.8,33.8,44.7,25.3,7.8,4.8,15.5,20.3,109.3,2018
Cleveland Cavaliers*,82,19880,41.8,91.4,.458,10.7,29.5,.361,31.2,61.9,.504,16.0,20.6,.773,11.3,34.2,45.5,25.4,7.5,4.4,13.0,21.2,110.3,2018
Orlando Magic,82,19805,41.3,88.6,.467,9.9,27.0,.367,31.4,61.6,.510,17.8,23.3,.766,10.0,36.7,46.7,24.2,7.8,5.2,13.4,19.2,110.5,2018
Brooklyn Nets,82,19755,41.0,89.4,.458,9.8,26.8,.366,31.2,62.6,.498,19.0,24.6,.772,10.8,35.6,46.4,22.7,9.4,5.5,13.1,20.0,110.7,2018
Portland Trail Blazers*,82,19930,40.0,88.1,.455,9.5,25.6,.370,30.5,62.4,.489,21.3,27.1,.785,10.3,34.6,44.9,21.0,7.9,5.4,13.1,20.2,110.8,2018
Sacramento Kings,82,19880,40.1,86.8,.462,11.4,31.3,.364,28.7,55.5,.517,19.7,25.3,.778,10.5,34.2,44.7,24.7,8.8,5.3,14.6,20.9,111.3,2018
New York Knicks,82,19855,41.0,90.2,.455,10.2,29.1,.348,30.9,61.1,.506,19.3,25.0,.771,12.0,34.2,46.2,22.5,7.7,4.7,13.3,19.1,111.5,2018
Minnesota Timberwolves,82,19805,41.6,87.4,.475,10.4,28.3,.366,31.2,59.1,.528,18.5,24.1,.768,10.3,32.1,42.4,24.3,8.1,5.3,15.0,21.5,112.0,2018
Phoenix Suns,82,19830,39.8,85.3,.467,10.0,26.1,.382,29.9,59.3,.504,22.5,28.8,.783,10.1,33.5,43.6,21.9,8.0,5.3,14.7,22.0,112.2,2018
Denver Nuggets,82,19755,42.7,89.6,.477,10.0,26.6,.375,32.7,63.0,.519,17.3,22.2,.782,9.5,31.8,41.4,24.4,8.4,5.0,12.1,20.4,112.7,2018
Los Angeles Lakers,82,19705,42.1,87.2,.483,10.3,27.8,.370,31.8,59.4,.536,18.5,24.3,.762,10.4,34.6,45.1,26.1,8.6,5.4,14.7,18.8,113.0,2018
Boston Celtics*,82,19805,38.7,88.0,.440,9.7,28.6,.339,29.0,59.3,.488,16.8,22.1,.763,10.0,35.4,45.4,22.0,7.5,4.6,14.6,19.8,103.9,2019
Utah Jazz*,82,19755,38.8,86.4,.449,9.9,27.0,.365,28.9,59.3,.488,16.4,21.3,.771,9.0,34.3,43.3,20.8,8.6,4.8,15.5,21.4,103.9,2019
San Antonio Spurs*,82,19730,40.1,88.5,.453,9.6,27.6,.348,30.5,60.9,.501,15.0,19.8,.759,9.7,35.0,44.6,22.9,8.0,4.1,14.8,20.7,104.8,2019
Philadelphia 76ers*,82,19780,37.9,87.4,.434,10.1,29.5,.342,27.9,57.8,.482,19.0,25.6,.745,9.9,32.1,42.1,21.7,8.5,5.1,14.3,20.3,105.0,2019
Toronto Raptors*,82,19830,39.1,87.2,.449,9.1,25.4,.357,30.1,61.8,.486,18.5,24.1,.767,10.0,33.2,43.2,22.2,7.3,5.0,14.6,20.3,105.9,2019
Houston Rockets*,82,19755,40.4,87.4,.462,10.3,29.5,.351,30.1,57.9,.519,15.0,20.0,.746,8.8,34.1,42.9,22.9,7.6,4.5,14.9,20.8,106.1,2019
Miami Heat*,82,19930,38.9,86.6,.450,9.9,27.5,.360,29.0,59.1,.491,18.6,23.7,.783,9.4,35.2,44.5,21.7,7.8,4.8,14.6,20.0,106.3,2019
Portland Trail Blazers*,82,19755,39.6,88.7,.447,10.0,27.4,.364,29.6,61.2,.484,17.2,22.7,.755,9.6,34.7,44.3,20.8,7.6,5.3,13.0,19.7,106.4,2019
Oklahoma City Thunder*,82,19830,39.5,86.2,.458,11.5,31.4,.367,28.0,54.8,.511,16.7,21.7,.769,9.8,33.5,43.3,23.9,7.9,4.7,16.5,21.9,107.2,2019
Detroit Pistons,82,19805,40.4,88.0,.459,11.4,31.8,.359,28.9,56.2,.515,15.1,19.5,.776,9.5,35.7,45.2,26.0,7.5,5.0,15.3,19.0,107.3,2019
Golden State Warriors*,82,19730,40.3,90.1,.447,10.4,29.2,.357,29.8,60.9,.490,16.7,22.1,.758,10.9,31.7,42.6,23.6,8.8,3.7,14.4,18.5,107.6,2019
Los Angeles Lakers,82,19905,40.4,88.6,.456,10.3,29.7,.346,30.2,58.9,.512,16.8,22.1,.761,10.1,34.1,44.2,23.2,8.2,5.4,14.1,20.2,108.0,2019
Indiana Pacers*,82,19755,40.9,88.0,.465,11.0,31.6,.349,29.9,56.4,.530,15.3,20.3,.757,10.6,34.0,44.6,24.1,7.3,5.4,16.1,19.2,108.1,2019
New Orleans Pelicans*,82,19955,40.9,90.2,.454,10.7,30.0,.355,30.3,60.2,.503,15.8,20.1,.784,10.6,34.0,44.6,23.3,8.0,4.1,14.2,20.0,108.3,2019
Washington Wizards*,82,19855,40.0,86.5,.462,10.4,29.9,.349,29.5,56.6,.522,18.4,24.2,.761,10.1,33.5,43.6,22.9,8.0,4.8,15.3,20.5,108.7,2019
Charlotte Hornets,82,19780,41.5,88.8,.468,11.4,30.4,.375,30.1,58.3,.516,14.6,18.4,.795,8.5,35.6,44.2,25.0,6.7,5.0,13.7,22.7,109.1,2019
Dallas Mavericks,82,19805,40.8,87.1,.469,11.1,30.6,.363,29.7,56.5,.526,16.8,22.2,.757,9.2,38.4,47.5,24.4,7.5,4.7,14.3,20.3,109.5,2019
Milwaukee Bucks*,82,19830,40.4,86.3,.468,10.4,28.0,.372,29.9,58.3,.513,19.0,24.2,.783,10.3,33.8,44.0,24.4,7.4,4.6,16.1,20.5,110.1,2019
Orlando Magic,82,19730,41.6,89.0,.468,10.2,28.0,.362,31.5,61.0,.516,16.7,21.6,.773,10.8,35.9,46.6,24.8,7.9,5.0,14.5,19.3,110.1,2019
Los Angeles Clippers,82,19705,40.7,88.8,.458,10.9,30.6,.356,29.8,58.2,.512,18.0,23.0,.782,10.7,33.4,44.1,24.9,8.6,5.7,14.2,22.2,110.2,2019
Atlanta Hawks,82,19705,41.3,88.1,.469,11.8,31.2,.377,29.6,56.9,.520,16.1,20.9,.772,10.4,34.5,44.9,26.5,8.8,5.6,15.3,20.6,110.6,2019
Brooklyn Nets,82,19855,41.8,89.7,.466,9.1,24.6,.369,32.7,65.1,.503,18.0,23.5,.766,10.4,36.4,46.9,21.8,7.7,5.5,12.4,19.7,110.6,2019
New York Knicks,82,19830,40.4,88.5,.457,11.5,31.2,.368,28.9,57.3,.505,18.4,23.8,.774,10.5,33.8,44.2,24.6,8.4,4.9,13.7,18.9,110.7,2019
Chicago Bulls,82,19855,41.3,87.5,.472,12.2,32.9,.370,29.1,54.5,.534,16.1,20.4,.787,8.5,37.5,46.0,26.1,7.2,5.2,13.7,17.5,110.9,2019
Memphis Grizzlies,82,19705,39.1,84.5,.462,11.2,30.5,.368,27.9,54.0,.516,21.7,28.2,.769,10.0,34.7,44.7,23.3,8.5,5.4,15.5,21.5,111.0,2019
Denver Nuggets,82,19880,42.2,88.7,.476,11.1,29.5,.378,31.1,59.2,.525,15.4,20.8,.738,10.0,32.6,42.6,25.3,8.2,4.9,14.1,21.2,111.0,2019
Minnesota Timberwolves*,82,19805,41.6,87.6,.475,11.2,30.7,.366,30.4,56.9,.534,16.6,21.2,.779,10.1,33.2,43.3,24.8,6.7,4.8,15.6,21.6,111.1,2019
Sacramento Kings,82,19755,40.7,86.5,.470,12.5,33.1,.377,28.2,53.4,.527,17.2,22.5,.765,9.5,36.4,45.9,24.8,8.1,5.0,15.1,18.2,111.1,2019
Cleveland Cavaliers*,82,19730,42.6,89.9,.474,11.9,32.2,.368,30.7,57.6,.533,14.9,19.7,.756,10.1,34.3,44.4,26.3,7.6,4.2,13.7,21.1,111.9,2019
Phoenix Suns,82,19705,41.6,88.4,.471,10.9,29.1,.373,30.7,59.2,.519,18.7,24.5,.766,10.4,35.3,45.7,23.2,8.6,5.9,13.3,20.8,112.8,2019
Milwaukee Bucks*,82,19780,39.0,90.1,.433,12.6,35.0,.361,26.4,55.1,.479,14.6,19.9,.733,9.6,34.1,43.6,23.9,6.5,4.6,12.9,19.4,105.2,2020
Utah Jazz*,82,19755,39.7,87.8,.452,9.8,27.5,.355,29.9,60.3,.496,16.6,22.1,.753,8.9,33.5,42.3,21.4,8.4,4.6,13.8,22.2,105.7,2020
Indiana Pacers*,82,19705,39.4,87.6,.450,11.6,32.7,.354,27.9,54.9,.507,16.1,21.3,.756,10.7,33.7,44.4,24.9,7.5,5.3,15.9,20.4,106.5,2020
Oklahoma City Thunder*,82,19855,39.3,85.5,.460,10.8,30.5,.356,28.5,55.0,.517,17.6,23.2,.761,9.5,34.5,44.0,24.0,7.9,4.9,16.1,21.7,107.0,2020
Toronto Raptors*,82,19880,39.8,88.6,.449,10.6,30.8,.345,29.2,57.8,.505,16.9,22.0,.765,10.5,33.8,44.3,24.3,7.5,4.4,14.8,20.3,107.1,2020
Miami Heat,82,19730,38.9,88.1,.441,12.0,33.6,.358,26.8,54.5,.493,17.7,23.0,.769,10.3,34.6,44.9,23.7,7.6,4.8,14.4,20.5,107.6,2020
Orlando Magic*,82,19780,40.5,88.9,.456,10.6,30.6,.347,29.9,58.3,.513,16.5,21.2,.778,9.1,36.1,45.3,23.4,7.1,4.5,13.2,19.0,108.1,2020
Boston Celtics*,82,19780,39.6,88.4,.448,11.5,33.6,.344,28.1,54.7,.513,17.5,22.9,.764,10.4,35.6,46.0,23.7,6.8,3.9,14.6,19.6,108.3,2020
Memphis Grizzlies,82,19880,38.5,85.4,.451,11.9,33.0,.360,26.6,52.5,.508,19.8,25.3,.784,9.8,36.0,45.8,24.0,7.8,5.0,15.6,22.0,108.8,2020
Denver Nuggets*,82,19730,40.4,88.2,.458,11.0,32.6,.339,29.4,55.6,.528,17.1,22.7,.753,9.9,33.4,43.4,25.1,7.6,5.1,13.8,20.8,108.9,2020
Detroit Pistons*,82,19855,40.6,86.5,.469,9.8,28.3,.345,30.9,58.2,.530,18.3,24.2,.755,9.3,35.2,44.5,24.1,7.0,5.2,14.3,21.7,109.2,2020
Golden State Warriors*,82,19805,39.8,89.7,.444,11.5,33.1,.347,28.3,56.7,.500,18.4,23.9,.773,10.6,33.0,43.7,23.9,7.6,3.5,13.3,19.2,109.5,2020
Los Angeles Lakers,82,19780,40.4,89.5,.452,11.4,32.7,.349,29.0,56.8,.511,17.2,21.9,.784,10.9,34.3,45.2,24.1,8.0,5.0,13.7,20.1,109.5,2020
Brooklyn Nets*,82,19980,41.2,90.3,.456,10.1,29.6,.341,31.1,60.7,.513,17.2,22.3,.770,10.7,34.4,45.2,23.2,7.6,5.1,13.1,21.5,109.7,2020
Philadelphia 76ers*,82,19805,40.8,89.5,.455,10.1,29.4,.342,30.7,60.1,.511,18.4,24.0,.768,9.8,32.7,42.5,22.9,7.6,4.0,12.5,21.7,110.0,2020
Portland Trail Blazers*,82,19855,41.1,90.1,.457,10.7,29.8,.359,30.4,60.3,.505,17.5,22.8,.770,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5,2020
Houston Rockets*,82,19830,41.0,87.9,.466,10.3,30.2,.340,30.7,57.7,.532,18.5,24.0,.768,11.1,34.9,46.1,23.9,7.5,4.6,15.2,20.3,110.7,2020
Dallas Mavericks,82,19780,41.2,89.7,.459,11.3,32.7,.344,29.9,57.0,.525,17.2,22.1,.777,10.2,34.8,45.1,24.7,7.9,4.5,13.1,23.4,110.7,2020
San Antonio Spurs*,82,19805,42.0,90.7,.463,11.8,33.0,.359,30.1,57.7,.522,15.4,20.4,.755,9.3,35.1,44.4,25.0,7.3,4.1,12.3,19.9,111.2,2020
Sacramento Kings,82,19730,40.9,87.6,.466,11.6,33.5,.348,29.2,54.2,.540,18.2,23.6,.770,10.8,35.6,46.4,23.9,7.3,5.0,15.4,20.7,111.5,2020
Los Angeles Clippers*,82,19830,40.7,89.1,.457,10.1,29.5,.343,30.6,59.7,.513,20.0,25.7,.777,11.0,33.6,44.6,23.5,8.1,5.9,12.9,23.4,111.5,2020
Charlotte Hornets,82,19830,42.1,89.6,.470,12.2,33.7,.361,30.0,56.0,.536,16.0,20.4,.787,10.1,35.9,46.1,26.2,6.9,6.0,13.6,20.7,112.5,2020
New Orleans Pelicans,82,19755,41.7,89.5,.466,11.8,32.5,.364,29.9,57.0,.525,17.3,22.7,.764,10.6,33.6,44.1,25.6,8.3,5.2,13.1,20.3,112.6,2020
Minnesota Timberwolves,82,19830,41.7,89.2,.467,12.6,33.3,.378,29.1,56.0,.520,16.9,22.1,.767,11.1,34.1,45.2,25.9,6.5,5.5,14.6,21.7,112.9,2020
