Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Orlando Magic*,66,15965,40.1,89.3,.449,7.0,20.1,.347,33.1,69.2,.478,17.0,22.0,.772,11.3,34.8,46.1,22.8,8.4,4.6,14.6,22.1,104.1,2013
Los Angeles Lakers*,66,16065,41.1,94.1,.437,7.3,21.0,.348,33.8,73.1,.463,14.9,20.0,.742,12.5,32.1,44.6,23.9,9.2,5.0,12.3,22.0,104.4,2013
Toronto Raptors,66,15965,37.6,86.4,.435,6.8,20.6,.328,30.9,65.8,.469,22.5,30.2,.744,11.4,33.6,45.0,22.3,8.1,5.4,14.7,20.4,104.5,2013
New Orleans Hornets,66,15940,39.3,88.5,.444,7.2,22.9,.317,32.1,65.6,.489,19.2,25.4,.759,12.5,32.6,45.0,23.5,8.9,6.5,15.6,21.1,105.1,2013
Milwaukee Bucks,66,15865,39.5,88.0,.449,7.1,20.1,.351,32.5,67.9,.478,19.1,24.8,.769,13.1,34.5,47.6,23.1,8.1,4.8,16.9,20.6,105.2,2013
Houston Rockets,66,16065,40.3,88.4,.456,6.0,18.5,.325,34.3,69.9,.491,18.6,24.3,.766,11.9,33.0,44.9,21.5,8.1,5.5,15.8,19.8,105.2,2013
Los Angeles Clippers*,66,15965,38.4,85.9,.447,7.8,21.3,.365,30.7,64.7,.474,21.1,28.3,.746,12.0,32.3,44.3,23.1,6.7,5.0,16.3,23.6,105.7,2013
Utah Jazz*,66,16165,39.0,86.2,.453,6.9,20.4,.340,32.1,65.8,.488,21.1,28.0,.754,11.8,32.3,44.1,22.0,8.0,6.1,15.7,22.2,106.1,2013
Denver Nuggets*,66,16040,40.4,88.5,.456,9.1,23.7,.383,31.3,64.8,.483,16.3,21.5,.759,11.6,30.6,42.2,24.3,8.3,7.0,16.3,23.1,106.2,2013
Washington Wizards,66,15865,39.6,87.5,.453,7.0,19.9,.350,32.6,67.6,.483,20.1,26.5,.758,13.3,33.7,47.0,23.2,8.5,4.9,16.4,20.1,106.2,2013
Detroit Pistons,66,15965,40.1,86.7,.462,6.7,18.8,.355,33.4,67.9,.492,19.6,25.6,.765,11.8,33.4,45.3,25.0,9.5,5.9,16.2,21.6,106.3,2013
Portland Trail Blazers,66,15965,40.8,88.2,.463,7.3,20.1,.363,33.5,68.1,.492,17.5,23.4,.747,12.0,34.0,46.0,22.9,8.2,5.2,16.2,21.5,106.4,2013
Phoenix Suns,66,15840,41.0,90.1,.455,6.5,18.5,.352,34.5,71.6,.481,18.0,23.6,.762,13.1,33.8,46.9,23.2,8.6,4.7,15.2,21.2,106.5,2013
Minnesota Timberwolves,66,15940,41.5,91.3,.455,6.6,19.3,.340,35.0,72.0,.486,17.1,22.6,.755,12.4,33.8,46.3,22.9,8.9,6.1,14.1,23.2,106.6,2013
Cleveland Cavaliers,66,15965,41.7,89.4,.467,7.4,20.3,.362,34.4,69.1,.498,18.0,24.1,.748,12.4,34.1,46.5,25.1,8.6,6.7,15.1,22.7,108.9,2013
