Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Boston Celtics*,72,17430,2764,6268,.441,851,2504,.340,1913,3764,.508,1350,1761,.767,743,2449,3192,1613,514,396,1097,1487,7729,2021
Oklahoma City Thunder*,72,17430,2937,6454,.455,814,2395,.340,2123,4059,.523,1119,1408,.795,754,2472,3226,1656,505,290,1024,1641,7807,2021
Utah Jazz*,72,17355,2930,6417,.457,790,2235,.353,2140,4182,.512,1185,1545,.767,688,2386,3074,1548,566,329,889,1501,7835,2021
Indiana Pacers*,73,17620,2883,6459,.446,837,2455,.341,2046,4004,.511,1243,1577,.788,757,2545,3302,1686,504,335,1071,1373,7846,2021
Orlando Magic*,73,17570,2949,6343,.465,893,2453,.364,2056,3890,.529,1114,1445,.771,660,2616,3276,1804,511,338,1065,1420,7905,2021
Philadelphia 76ers*,73,17595,2905,6275,.463,759,2148,.353,2146,4127,.520,1341,1786,.751,628,2426,3054,1661,510,294,1009,1493,7910,2021
Los Angeles Clippers*,72,17380,2846,6494,.438,886,2566,.345,1960,3928,.499,1335,1766,.756,771,2491,3262,1709,540,338,1013,1647,7913,2021
Milwaukee Bucks*,73,17595,2843,6862,.414,1020,2871,.355,1823,3991,.457,1221,1551,.787,693,2651,3344,1764,538,326,1030,1586,7927,2021
Miami Heat*,73,17745,2831,6326,.448,956,2753,.347,1875,3573,.525,1346,1720,.783,674,2431,3105,1794,545,302,1022,1584,7964,2021
Denver Nuggets*,73,17745,2919,6311,.463,885,2473,.358,2034,3838,.530,1247,1643,.759,736,2377,3113,1852,525,324,1041,1494,7970,2021
Atlanta Hawks,67,16280,2903,6078,.478,797,2194,.363,2106,3884,.542,1419,1839,.772,748,2402,3150,1674,600,428,1006,1404,8022,2021
Sacramento Kings,72,17455,2898,6158,.471,894,2506,.357,2004,3652,.549,1384,1752,.790,654,2481,3135,1791,557,304,1094,1404,8074,2021
Brooklyn Nets*,72,17480,2981,6688,.446,877,2505,.350,2104,4183,.503,1250,1625,.769,766,2541,3307,1630,554,379,919,1521,8089,2021
San Antonio Spurs,71,17215,3004,6402,.469,931,2493,.373,2073,3909,.530,1238,1594,.777,665,2551,3216,1825,486,308,937,1424,8177,2021
Houston Rockets*,72,17380,3045,6589,.462,880,2522,.349,2165,4067,.532,1299,1706,.761,803,2645,3448,1819,578,354,1163,1515,8269,2021
Phoenix Suns,73,17595,3011,6378,.472,848,2335,.363,2163,4043,.535,1408,1787,.788,664,2497,3161,1723,576,401,1139,1653,8278,2021
Memphis Grizzlies,73,17570,2964,6592,.450,942,2580,.365,2022,4012,.504,1430,1828,.782,756,2519,3275,1814,585,386,1080,1474,8300,2021
Dallas Mavericks*,75,18175,3143,6868,.458,919,2615,.351,2224,4253,.523,1200,1578,.760,782,2625,3407,1794,525,311,896,1601,8405,2021
New Orleans Pelicans,72,17430,3077,6611,.465,880,2438,.361,2197,4173,.526,1400,1775,.789,727,2501,3228,1763,615,348,1045,1519,8434,2021
Washington Wizards,72,17355,3104,6363,.488,896,2386,.376,2208,3977,.555,1470,1890,.778,753,2572,3325,1814,541,363,1163,1601,8574,2021
Portland Trail Blazers*,74,17835,3090,6781,.456,1003,2619,.383,2087,4162,.501,1410,1828,.771,852,2617,3469,1840,502,364,953,1488,8593,2021
League Average,71,17069,2885,6271,.460,862,2408,.358,2023,3862,.524,1261,1631,.773,711,2454,3165,1722,540,346,1027,1467,7893,2021
New York Knicks*,72,17430,2730,6209,.440,864,2565,.337,1866,3644,.512,1216,1598,.761,695,2478,3173,1696,472,391,918,1286,7540,2022
Los Angeles Lakers*,72,17455,2862,6221,.460,818,2321,.352,2044,3900,.524,1144,1475,.776,634,2392,3026,1776,593,327,1095,1530,7686,2022
