Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Chicago Bulls*,82,19730,3397,7170,.474,960,2620,.366,2437,4550,.536,1430,1799,.795,764,2777,3541,2049,584,410,1071,1489,9184,2023
Brooklyn Nets*,82,19755,3340,7395,.452,1026,2974,.345,2314,4421,.523,1488,1888,.788,926,2690,3616,1954,650,403,1088,1616,9194,2023
Milwaukee Bucks*,82,19755,3391,7431,.456,1186,3328,.356,2205,4103,.537,1227,1634,.751,812,2805,3617,2122,606,357,1070,1612,9195,2023
Orlando Magic,82,19780,3346,7300,.458,1082,2979,.363,2264,4321,.524,1429,1851,.772,852,3014,3866,2034,655,428,1079,1501,9203,2023
Atlanta Hawks*,82,19705,3435,7294,.471,1051,2888,.364,2384,4406,.541,1294,1634,.792,838,2758,3596,2085,576,367,1046,1668,9215,2023
Detroit Pistons,82,19780,3333,7051,.473,966,2668,.362,2367,4383,.540,1597,2056,.777,847,2946,3793,2061,606,427,1197,1625,9229,2023
San Antonio Spurs,82,19805,3482,7475,.466,992,2756,.360,2490,4719,.528,1313,1711,.767,933,2902,3835,1970,601,403,1131,1553,9269,2023
Minnesota Timberwolves*,82,19780,3298,7163,.460,1071,3062,.350,2227,4101,.543,1624,2081,.780,904,2858,3762,2149,593,397,1339,1715,9291,2023
Charlotte Hornets,82,19880,3444,7388,.466,1148,3170,.362,2296,4218,.544,1385,1815,.763,931,2920,3851,2169,617,377,1229,1609,9421,2023
Indiana Pacers,82,19880,3485,7212,.483,985,2645,.372,2500,4567,.547,1470,1845,.797,833,2702,3535,2058,664,401,1087,1575,9425,2023
Portland Trail Blazers,82,19730,3373,7045,.479,1129,3046,.371,2244,3999,.561,1564,2014,.777,800,2868,3668,2184,672,409,1150,1589,9439,2023
Los Angeles Lakers,82,19980,3491,7424,.470,1032,2935,.352,2459,4489,.548,1428,1911,.747,902,2920,3822,2154,684,338,1152,1647,9442,2023
Sacramento Kings,82,19805,3561,7429,.479,1065,2864,.372,2496,4565,.547,1306,1682,.776,866,2891,3757,2077,668,395,1106,1665,9493,2023
Houston Rockets,82,19755,3562,7374,.483,1048,2966,.353,2514,4408,.570,1520,1943,.782,915,2831,3746,2103,776,474,1155,1812,9692,2023
League Average,82,19792,3331,7224,.461,1020,2885,.354,2311,4340,.533,1389,1793,.775,847,2798,3645,2021,626,386,1129,1610,9071,2023
Cleveland Cavaliers*,82,19880,3201,6847,.468,924,2508,.368,2277,4339,.525,1438,1838,.782,801,2580,3381,1888,575,360,1284,1675,8764,2024
Miami Heat*,82,19805,3288,6822,.482,1077,2933,.367,2211,3889,.569,1350,1728,.781,729,2702,3431,2097,571,309,1288,1643,9003,2024
Philadelphia 76ers*,82,19880,3312,7005,.473,952,2735,.348,2360,4270,.553,1518,1943,.781,782,2593,3375,1986,540,380,1171,1607,9094,2024
Toronto Raptors,82,19805,3312,6752,.491,1001,2676,.374,2311,4076,.567,1508,1893,.797,757,2709,3466,2148,492,376,1367,1604,9133,2024
Boston Celtics*,82,19980,3425,7394,.463,954,2763,.345,2471,4631,.534,1332,1733,.769,799,2810,3609,1895,544,318,1040,1568,9136,2024
Phoenix Suns*,82,19780,3280,7044,.466,938,2628,.357,2342,4416,.530,1651,2101,.786,840,2676,3516,1915,588,327,1183,1629,9149,2024
Chicago Bulls,82,19905,3339,7142,.468,1086,3042,.357,2253,4100,.550,1406,1806,.779,791,2763,3554,2131,546,389,1234,1537,9170,2024
Denver Nuggets*,82,19755,3423,7166,.478,933,2711,.344,2490,4455,.559,1443,1861,.775,832,2516,3348,2105,646,344,1105,1601,9222,2024
New Orleans Pelicans,82,19855,3357,7105,.472,1002,2953,.339,2355,4152,.567,1507,1935,.779,792,2634,3426,2044,600,386,1228,1673,9223,2024
Brooklyn Nets*,82,19730,3360,7257,.463,968,2640,.367,2392,4617,.518,1537,2003,.767,943,2758,3701,1916,575,317,1126,1517,9225,2024
Memphis Grizzlies*,82,19780,3340,7365,.453,1065,2998,.355,2275,4367,.521,1519,1931,.787,902,2738,3640,2167,559,427,1240,1644,9264,2024
Los Angeles Clippers*,82,19830,3430,7243,.474,1000,2738,.365,2430,4505,.539,1413,1832,.771,838,2699,3537,2048,640,343,1065,1607,9273,2024
New York Knicks*,82,19955,3343,7229,.462,1068,2992,.357,2275,4237,.537,1520,1943,.782,830,2617,3447,2062,496,370,1044,1694,9274,2024
Milwaukee Bucks*,82,19830,3483,7644,.456,991,2799,.354,2492,4845,.514,1334,1719,.776,879,2744,3623,1963,578,323,970,1557,9291,2024
Orlando Magic,82,19780,3389,7127,.476,1064,3030,.351,2325,4097,.567,1504,1890,.796,779,2669,3448,2122,634,415,1204,1681,9346,2024
Dallas Mavericks,82,19930,3425,7065,.485,913,2596,.352,2512,4469,.562,1597,2046,.781,830,2838,3668,2044,522,312,1075,1789,9360,2024
Washington Wizards,82,19755,3481,7363,.473,984,2688,.366,2497,4675,.534,1432,1794,.798,883,2645,3528,2035,581,406,1008,1590,9378,2024
Minnesota Timberwolves*,82,19830,3428,7277,.471,1007,2728,.369,2421,4549,.532,1634,2133,.766,928,2734,3662,2051,674,336,1262,1654,9497,2024
Oklahoma City Thunder,82,19855,3437,7252,.474,1059,2955,.358,2378,4297,.553,1611,2090,.771,982,2841,3823,2126,572,454,1375,1675,9544,2024
Los Angeles Lakers*,82,19880,3607,7698,.469,1028,2991,.344,2579,4707,.548,1319,1706,.773,908,2770,3678,2104,624,416,1035,1760,9561,2024
Golden State Warriors*,82,19830,3478,7423,.469,1060,2915,.364,2418,4508,.536,1589,2067,.769,880,2673,3553,2110,646,326,1172,1510,9605,2024
Charlotte Hornets,82,19830,3522,7391,.477,1004,2812,.357,2518,4579,.550,1562,1965,.795,895,2892,3787,2127,573,471,1177,1667,9610,2024
Portland Trail Blazers,82,19730,3522,7176,.491,1029,2717,.379,2493,4459,.559,1555,1977,.787,857,2686,3543,2214,640,352,1108,1679,9628,2024
Utah Jazz,82,19805,3555,7515,.473,1023,2830,.361,2532,4685,.540,1544,1989,.776,919,2644,3563,2047,639,405,1030,1679,9677,2024
Sacramento Kings*,82,19830,3589,7288,.492,1022,2740,.373,2567,4548,.564,1481,1882,.787,795,2665,3460,2187,598,341,1165,1711,9681,2024
Atlanta Hawks*,82,19855,3592,7398,.486,979,2748,.356,2613,4650,.562,1524,1899,.803,866,2751,3617,2131,616,414,1162,1612,9687,2024
Detroit Pistons,82,19805,3533,7222,.489,984,2732,.360,2549,4490,.568,1669,2149,.777,901,2767,3668,2112,631,453,1108,1718,9719,2024
Houston Rockets,82,19755,3480,7226,.482,1189,3183,.374,2291,4043,.567,1576,1986,.794,861,2543,3404,2143,718,509,1079,1692,9725,2024
Indiana Pacers,82,19755,3549,7323,.485,1019,2733,.373,2530,4590,.551,1679,2100,.800,993,2721,3714,2163,650,438,1235,1660,9796,2024
San Antonio Spurs,82,19855,3780,7460,.507,1036,2651,.391,2744,4809,.571,1496,1942,.770,877,2811,3688,2198,665,431,1135,1516,10092,2024
League Average,82,19828,3442,7241,.475,1012,2806,.361,2430,4435,.548,1508,1929,.782,856,2706,3562,2076,598,382,1156,1638,9404,2024
Minnesota Timberwolves*,82,19805,3198,7114,.450,937,2645,.354,2261,4469,.506,1402,1794,.781,843,2555,3398,2008,616,371,1166,1630,8735,2025
New York Knicks*,82,19730,3304,7026,.470,1028,2813,.365,2276,4213,.540,1237,1620,.764,839,2492,3331,2098,552,431,1082,1565,8873,2025
Miami Heat*,82,19755,3297,7056,.467,1064,3018,.353,2233,4038,.553,1230,1577,.780,757,2750,3507,2173,543,388,1126,1550,8888,2025
Orlando Magic*,82,19780,3264,6884,.474,945,2636,.358,2319,4248,.546,1419,1819,.780,731,2537,3268,1958,666,379,1234,1710,8892,2025
Boston Celtics*,82,19830,3403,7515,.453,1059,3008,.352,2344,4507,.520,1092,1422,.768,907,2645,3552,2042,510,304,986,1416,8957,2025
Denver Nuggets*,82,19705,3332,7210,.462,919,2587,.355,2413,4623,.522,1404,1819,.772,894,2573,3467,2108,578,394,1014,1467,8987,2025
Cleveland Cavaliers*,82,19805,3323,7176,.463,1029,2773,.371,2294,4403,.521,1363,1724,.791,823,2676,3499,2071,632,411,1115,1536,9038,2025
New Orleans Pelicans*,82,19705,3317,7155,.464,1109,3176,.349,2208,3979,.555,1331,1699,.783,826,2644,3470,2196,536,424,1168,1507,9074,2025
Philadelphia 76ers*,82,19780,3322,7098,.468,979,2765,.354,2343,4333,.541,1524,1926,.791,903,2742,3645,2143,506,503,1201,1519,9147,2025
Los Angeles Clippers*,82,19705,3413,7288,.468,1054,2902,.363,2359,4386,.538,1332,1718,.775,909,2551,3460,2165,597,384,1069,1537,9212,2025
Oklahoma City Thunder*,82,19805,3328,7322,.455,1101,3052,.361,2227,4270,.522,1482,1878,.789,968,2695,3663,2207,582,419,1287,1548,9239,2025
Memphis Grizzlies,82,19780,3381,7128,.474,1098,2905,.378,2283,4223,.541,1391,1785,.779,874,2867,3741,2179,668,536,1239,1539,9251,2025
Phoenix Suns*,82,19780,3444,7428,.464,1074,2949,.364,2370,4479,.529,1319,1705,.774,898,2490,3388,2155,685,372,1043,1612,9281,2025
Houston Rockets,82,19855,3344,7226,.463,1012,2904,.348,2332,4322,.540,1583,2065,.767,878,2803,3681,1997,597,482,1132,1609,9283,2025
Brooklyn Nets,82,19805,3410,7255,.470,1066,2865,.372,2344,4390,.534,1401,1736,.807,843,2788,3631,2088,563,409,1035,1496,9287,2025
Chicago Bulls,82,19980,3370,7131,.473,1196,3235,.370,2174,3896,.558,1388,1789,.776,829,2729,3558,2287,555,404,1147,1538,9324,2025
Sacramento Kings,82,19855,3414,7114,.480,1074,2775,.387,2340,4339,.539,1513,1892,.800,747,2740,3487,2208,606,370,1139,1504,9415,2025
Golden State Warriors,82,19830,3453,7415,.466,1088,3030,.359,2365,4385,.539,1449,1840,.788,892,2627,3519,2187,633,407,1067,1471,9443,2025
Portland Trail Blazers,82,19880,3485,7104,.491,957,2730,.351,2528,4374,.578,1535,1938,.792,868,2726,3594,2225,729,528,1173,1467,9462,2025
Dallas Mavericks*,82,19705,3522,7413,.475,1075,2921,.368,2447,4492,.545,1364,1772,.770,896,2800,3696,2258,603,331,1127,1667,9483,2025
Milwaukee Bucks*,82,19805,3543,7537,.470,1032,2897,.356,2511,4640,.541,1423,1764,.807,843,2765,3608,2169,580,347,986,1576,9541,2025
Charlotte Hornets,82,19730,3555,7191,.494,1118,2965,.377,2437,4226,.577,1352,1699,.796,867,2853,3720,2356,582,396,1117,1432,9580,2025
Los Angeles Lakers*,82,19855,3643,7687,.474,1170,3109,.376,2473,4578,.540,1174,1476,.795,893,2719,3612,2316,673,390,1100,1619,9630,2025
San Antonio Spurs,82,19830,3684,7570,.487,1040,2791,.373,2644,4779,.553,1316,1679,.784,860,2857,3717,2296,733,380,1098,1470,9724,2025
Toronto Raptors,82,19805,3669,7476,.491,1120,2979,.376,2549,4497,.567,1283,1627,.789,919,2785,3704,2346,595,474,1137,1487,9741,2025
Detroit Pistons,82,19755,3578,7301,.490,991,2682,.370,2587,4619,.560,1610,2013,.800,791,2745,3536,2216,727,490,1019,1457,9757,2025
Indiana Pacers*,82,19705,3653,7361,.496,877,2404,.365,2776,4957,.560,1677,2130,.787,901,2654,3555,2020,543,440,1142,1501,9860,2025
Atlanta Hawks,82,19855,3659,7394,.495,1147,2987,.384,2512,4407,.570,1417,1790,.792,870,2758,3628,2314,638,461,1158,1594,9882,2025
Utah Jazz,82,19805,3654,7509,.487,1213,3070,.395,2441,4439,.550,1364,1768,.771,900,2564,3464,2442,704,528,1009,1577,9885,2025
Washington Wizards,82,19730,3777,7618,.496,1007,2782,.362,2770,4836,.573,1528,1966,.777,993,3020,4013,2382,655,496,1152,1473,10089,2025
League Average,82,19792,3458,7290,.474,1053,2879,.366,2405,4412,.545,1397,1781,.784,865,2705,3570,2187,613,422,1116,1536,9365,2025
