,Season,Lg,Champion,MVP,Rookie of the Year,Points,Rebounds,Assists,Win Shares
54,1971,ABA,New York Nets,J. Erving,S. Nater,J. Erving (2299),A. Gilmore (1538),A. Smith (619),J. Erving (16.5)
55,1970,NBA,New York Knicks,D. Cowens,B. McAdoo,T. Archibald (2719),W. Chamberlain (1526),T. Archibald (910),K. Abdul-Jabbar (21.9)
56,1969,ABA,Indiana Pacers,B. Cunningham,B. Taylor,D. Issel (2292),A. Gilmore (1476),C. Williams (582),A. Gilmore (18.5)
57,1968,NBA,Los Angeles Lakers,K. Abdul-Jabbar,S. Wicks,K. Abdul-Jabbar (2822),W. Chamberlain (1572),L. Wilkens (766),K. Abdul-Jabbar (25.4)
58,1967,ABA,Indiana Pacers,A. Gilmore,A. Gilmore,D. Issel (2538),A. Gilmore (1491),B. Melchionni (669),A. Gilmore (19.8)
59,1966,NBA,Milwaukee Bucks,K. Abdul-Jabbar,"D. Cowens, G. Petrie",K. Abdul-Jabbar (2596),W. Chamberlain (1493),N. Van Lier (832),K. Abdul-Jabbar (22.3)
60,1965,ABA,Utah Stars,M. Daniels,"D. Issel, C. Scott",D. Issel (2480),M. Daniels (1475),B. Melchionni (672),Z. Beaty (16.0)
61,1964,NBA,New York Knicks,W. Reed,K. Abdul-Jabbar,K. Abdul-Jabbar (2361),E. Hayes (1386),L. Wilkens (683),J. West (15.2)
62,1963,ABA,Indiana Pacers,S. Haywood,S. Haywood,S. Haywood (2519),S. Haywood (1637),L. Brown (580),S. Haywood (17.1)
63,1962,NBA,Boston Celtics,W. Unseld,W. Unseld,E. Hayes (2327),W. Chamberlain (1712),O. Robertson (772),W. Reed (14.7)
64,1961,ABA,Oakland Oaks,M. Daniels,W. Jabali,L. Jones (2133),M. Daniels (1256),L. Brown (544),J. Jones (16.1)
65,1960,NBA,Boston Celtics,W. Chamberlain,E. Monroe,D. Bing (2142),W. Chamberlain (1952),W. Chamberlain (702),W. Chamberlain (20.4)
