,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, .1,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1, .2,2P.2,3P.2, .3,%FGA,Md., .4,%FGA.1,Md..1, .5,%3PA,3P%, .6,Att.,Md..2,Year
24,Portland Trail Blazers,82,19730,0.474,14.1,,0.587,0.288,0.161,0.069,0.062,0.413,,0.55,0.673,0.434,0.437,0.414,0.365,,0.502,0.774,,0.058,357,,0.276,1142,,0.204,0.362,,9.0,0.0,2023
25,Sacramento Kings*,82,19830,0.494,14.1,,0.577,0.243,0.199,0.08,0.05,0.423,,0.586,0.741,0.488,0.438,0.45,0.369,,0.495,0.875,,0.059,380,,0.261,1166,,0.226,0.397,,9.0,0.0,2023
26,San Antonio Spurs,82,19855,0.465,13.1,,0.652,0.258,0.23,0.112,0.053,0.348,,0.529,0.679,0.442,0.412,0.425,0.345,,0.53,0.924,,0.04,265,,0.303,1339,,0.216,0.367,,18.0,0.0,2023
27,Toronto Raptors,82,19805,0.459,13.4,,0.649,0.243,0.22,0.095,0.084,0.351,,0.525,0.694,0.445,0.406,0.379,0.335,,0.474,0.819,,0.064,432,,0.257,1082,,0.264,0.363,,22.0,0.0,2023
28,Utah Jazz,82,19805,0.473,14.2,,0.579,0.204,0.266,0.073,0.036,0.421,,0.56,0.708,0.497,0.438,0.439,0.353,,0.5,0.854,,0.071,460,,0.274,1144,,0.22,0.413,,16.0,0.0,2023
29,Washington Wizards,82,19755,0.485,14.0,,0.635,0.211,0.244,0.107,0.073,0.365,,0.559,0.76,0.47,0.46,0.42,0.356,,0.508,0.862,,0.059,377,,0.272,1118,,0.215,0.399,,16.0,2.0,2023
30,League Average,82,19826,0.475,13.9,,0.613,0.245,0.206,0.096,0.063,0.387,,0.548,0.701,0.454,0.447,0.414,0.361,,0.506,0.825,,0.06,386,,0.269,1118,,0.237,0.387,,13.8,0.3,2023
31,Atlanta Hawks,82,19855,0.465,14.1,,0.592,0.247,0.194,0.104,0.047,0.408,,0.535,0.649,0.437,0.477,0.471,0.364,,0.537,0.791,,0.065,445,,0.259,1006,,0.26,0.38,,15.0,0.0,2024
32,Boston Celtics*,82,19830,0.487,15.6,,0.529,0.212,0.181,0.083,0.053,0.471,,0.575,0.745,0.478,0.454,0.418,0.388,,0.503,0.796,,0.066,439,,0.249,1086,,0.204,0.441,,11.0,1.0,2024
33,Brooklyn Nets,82,19805,0.456,14.2,,0.588,0.242,0.199,0.094,0.053,0.412,,0.522,0.692,0.406,0.433,0.346,0.362,,0.527,0.844,,0.054,353,,0.266,1081,,0.261,0.414,,23.0,1.0,2024
34,Chicago Bulls,82,19980,0.47,13.6,,0.642,0.266,0.181,0.106,0.089,0.358,,0.532,0.642,0.465,0.481,0.404,0.358,,0.488,0.876,,0.039,236,,0.274,1156,,0.275,0.385,,11.0,0.0,2024
35,Charlotte Hornets,82,19730,0.46,14.1,,0.609,0.251,0.198,0.094,0.065,0.391,,0.528,0.692,0.438,0.404,0.344,0.355,,0.525,0.839,,0.059,381,,0.259,1036,,0.219,0.367,,21.0,0.0,2024
36,Cleveland Cavaliers*,82,19805,0.479,14.0,,0.578,0.276,0.19,0.073,0.039,0.422,,0.561,0.686,0.448,0.457,0.416,0.367,,0.589,0.844,,0.07,444,,0.26,1056,,0.239,0.376,,10.0,1.0,2024
37,Dallas Mavericks*,82,19705,0.481,15.1,,0.559,0.222,0.175,0.098,0.064,0.441,,0.569,0.747,0.47,0.451,0.404,0.369,,0.524,0.735,,0.069,447,,0.225,998,,0.274,0.362,,16.0,0.0,2024
38,Denver Nuggets*,82,19705,0.496,13.3,,0.648,0.265,0.209,0.09,0.083,0.352,,0.562,0.688,0.487,0.457,0.464,0.374,,0.598,0.864,,0.066,438,,0.282,1152,,0.238,0.384,,24.0,0.0,2024
39,Detroit Pistons,82,19755,0.463,13.5,,0.64,0.224,0.242,0.112,0.063,0.36,,0.528,0.679,0.461,0.455,0.377,0.348,,0.541,0.844,,0.072,470,,0.27,1058,,0.273,0.359,,21.0,0.0,2024
40,Golden State Warriors,82,19830,0.477,15.0,,0.575,0.185,0.238,0.083,0.069,0.425,,0.548,0.716,0.504,0.419,0.41,0.38,,0.599,0.81,,0.055,370,,0.289,1266,,0.163,0.395,,15.0,1.0,2024
41,Houston Rockets,82,19855,0.459,14.2,,0.603,0.237,0.215,0.084,0.066,0.397,,0.53,0.675,0.437,0.455,0.407,0.352,,0.512,0.781,,0.059,379,,0.294,1199,,0.171,0.395,,28.0,0.0,2024
42,Indiana Pacers*,82,19705,0.507,13.5,,0.62,0.259,0.22,0.094,0.047,0.38,,0.589,0.718,0.493,0.505,0.497,0.374,,0.576,0.855,,0.059,415,,0.319,1440,,0.234,0.405,,11.0,0.0,2024
43,Los Angeles Clippers*,82,19705,0.489,14.1,,0.617,0.228,0.207,0.12,0.063,0.383,,0.555,0.72,0.469,0.472,0.402,0.381,,0.544,0.744,,0.07,433,,0.252,1005,,0.247,0.417,,9.0,0.0,2024
44,Los Angeles Lakers*,82,19855,0.499,13.3,,0.642,0.259,0.221,0.097,0.065,0.358,,0.567,0.769,0.451,0.428,0.365,0.377,,0.591,0.822,,0.081,533,,0.289,1245,,0.248,0.388,,15.0,0.0,2024
45,Memphis Grizzlies,82,19780,0.435,14.3,,0.572,0.238,0.222,0.071,0.04,0.428,,0.502,0.652,0.397,0.409,0.359,0.346,,0.526,0.873,,0.044,277,,0.255,999,,0.244,0.351,,21.0,0.0,2024
46,Miami Heat*,82,19755,0.465,14.2,,0.606,0.194,0.248,0.111,0.053,0.394,,0.527,0.672,0.494,0.409,0.399,0.37,,0.537,0.892,,0.049,301,,0.254,998,,0.276,0.398,,13.0,0.0,2024
47,Milwaukee Bucks*,82,19805,0.487,15.0,,0.57,0.238,0.167,0.092,0.073,0.43,,0.574,0.761,0.43,0.447,0.456,0.373,,0.504,0.841,,0.056,372,,0.26,1155,,0.255,0.414,,10.0,0.0,2024
48,Minnesota Timberwolves*,82,19805,0.485,13.5,,0.616,0.25,0.228,0.089,0.048,0.384,,0.546,0.716,0.439,0.439,0.376,0.387,,0.547,0.869,,0.075,465,,0.269,1066,,0.279,0.409,,17.0,1.0,2024
49,New Orleans Pelicans*,82,19705,0.486,13.5,,0.627,0.254,0.218,0.099,0.056,0.373,,0.548,0.695,0.44,0.472,0.434,0.383,,0.531,0.883,,0.053,343,,0.294,1175,,0.266,0.434,,22.0,1.0,2024
50,New York Knicks*,82,19730,0.465,13.9,,0.596,0.252,0.19,0.107,0.047,0.404,,0.531,0.658,0.451,0.433,0.392,0.369,,0.474,0.837,,0.051,325,,0.256,1024,,0.269,0.414,,8.0,1.0,2024
51,Oklahoma City Thunder*,82,19805,0.499,13.8,,0.617,0.252,0.191,0.117,0.057,0.383,,0.567,0.712,0.458,0.503,0.422,0.389,,0.487,0.894,,0.054,350,,0.284,1233,,0.243,0.416,,5.0,0.0,2024
52,Orlando Magic*,82,19780,0.476,13.2,,0.631,0.269,0.221,0.091,0.05,0.369,,0.549,0.722,0.44,0.397,0.38,0.352,,0.509,0.879,,0.072,453,,0.309,1244,,0.262,0.366,,17.0,0.0,2024
53,Philadelphia 76ers*,82,19780,0.464,13.7,,0.627,0.261,0.204,0.099,0.063,0.373,,0.525,0.669,0.407,0.452,0.424,0.363,,0.51,0.818,,0.048,309,,0.295,1182,,0.217,0.41,,8.0,0.0,2024
54,Phoenix Suns*,82,19780,0.493,14.3,,0.622,0.224,0.184,0.134,0.081,0.378,,0.561,0.713,0.457,0.499,0.474,0.382,,0.543,0.864,,0.056,346,,0.237,973,,0.249,0.405,,2.0,0.0,2024
55,Portland Trail Blazers,82,19880,0.439,13.6,,0.63,0.241,0.22,0.102,0.067,0.37,,0.494,0.637,0.394,0.422,0.415,0.345,,0.484,0.838,,0.047,293,,0.3,1142,,0.239,0.371,,13.0,0.0,2024
56,Sacramento Kings,82,19855,0.477,14.8,,0.568,0.206,0.218,0.096,0.048,0.432,,0.561,0.715,0.509,0.439,0.378,0.366,,0.543,0.879,,0.054,356,,0.262,1166,,0.244,0.393,,8.0,0.0,2024
57,San Antonio Spurs,82,19830,0.462,13.9,,0.599,0.258,0.2,0.088,0.052,0.401,,0.539,0.692,0.445,0.427,0.338,0.347,,0.625,0.914,,0.066,437,,0.27,1142,,0.235,0.384,,16.0,0.0,2024
58,Toronto Raptors,82,19805,0.471,13.2,,0.631,0.27,0.221,0.086,0.054,0.369,,0.543,0.702,0.439,0.404,0.397,0.347,,0.588,0.903,,0.048,313,,0.31,1346,,0.253,0.38,,11.0,0.0,2024
59,Utah Jazz,82,19805,0.467,13.8,,0.594,0.201,0.289,0.071,0.033,0.406,,0.544,0.725,0.471,0.412,0.372,0.354,,0.544,0.882,,0.072,489,,0.273,1102,,0.276,0.39,,17.0,0.0,2024
60,Washington Wizards,82,19730,0.47,13.8,,0.611,0.248,0.236,0.085,0.042,0.389,,0.548,0.731,0.435,0.404,0.387,0.348,,0.571,0.843,,0.057,383,,0.301,1315,,0.222,0.392,,16.0,1.0,2024
61,League Average,82,19788,0.474,14.0,,0.605,0.241,0.211,0.096,0.058,0.395,,0.545,0.699,0.452,0.446,0.407,0.366,,0.54,0.844,,0.06,387,,0.274,1135,,0.244,0.393,,14.5,0.3,2024
