,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, .1,eFG%.1,TOV%.1,DRB%,FT/FGA.1, .2,Arena,Attend.,Attend./G,Year
342,Chicago Bulls*,24.1,41.0,41.0,43,39,0.63,-0.12,0.51,104.0,103.4,0.6,92.9,0.292,0.219,0.527,,0.487,13.9,26.3,0.216,,0.464,13.9,74.7,0.295,,United Center,"868,720","21,188",2006
343,Denver Nuggets*,27.4,44.0,38.0,42,40,0.23,0.13,0.36,105.5,105.2,0.3,93.9,0.347,0.161,0.535,,0.488,13.7,26.8,0.258,,0.493,14.7,72.0,0.227,,Pepsi Center,"702,555","17,135",2006
344,Milwaukee Bucks*,25.5,40.0,42.0,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,0.322,0.203,0.535,,0.492,13.8,27.3,0.238,,0.504,13.8,74.6,0.262,,Bradley Center,"681,337","16,618",2006
345,Orlando Magic,25.5,36.0,46.0,38,44,-1.07,-0.18,-1.26,106.3,107.5,-1.2,88.3,0.369,0.129,0.543,,0.496,14.7,28.5,0.27,,0.49,13.0,72.5,0.264,,TD Waterhouse Centre,"638,005","15,561",2006
346,Golden State Warriors,25.6,34.0,48.0,37,45,-1.35,0.25,-1.11,104.8,106.2,-1.4,93.3,0.323,0.27,0.521,,0.479,13.0,26.9,0.232,,0.492,14.1,71.6,0.243,,Oakland Arena,"749,185","18,273",2006
347,Houston Rockets,28.8,34.0,48.0,36,46,-1.59,0.28,-1.3,101.6,103.3,-1.7,88.0,0.317,0.226,0.519,,0.471,14.3,25.5,0.24,,0.472,13.1,74.6,0.247,,Toyota Center,"636,110","15,515",2006
348,Boston Celtics,25.3,33.0,49.0,37,45,-1.54,-0.05,-1.59,105.2,106.9,-1.7,92.2,0.349,0.204,0.551,,0.504,15.7,25.5,0.263,,0.49,13.8,72.8,0.282,,TD Banknorth Garden,"692,873","16,899",2006
349,Minnesota Timberwolves,26.7,33.0,49.0,35,47,-1.88,0.13,-1.75,102.4,104.5,-2.1,88.8,0.299,0.149,0.524,,0.48,14.2,25.2,0.226,,0.475,13.4,71.3,0.236,,Target Center,"662,167","16,150",2006
350,Philadelphia 76ers,26.5,38.0,44.0,35,47,-1.95,-0.15,-2.1,106.0,108.1,-2.1,92.7,0.356,0.158,0.538,,0.487,13.3,25.6,0.27,,0.5,14.3,71.3,0.24,,Wachovia Center,"677,278","16,519",2006
351,Utah Jazz,25.6,41.0,41.0,33,49,-2.63,0.14,-2.49,104.1,107.0,-2.9,87.8,0.397,0.149,0.519,,0.467,15.0,32.4,0.286,,0.49,14.0,73.2,0.303,,Delta Center,"751,621","18,332",2006
352,New Orleans/Oklahoma City Hornets,26.3,38.0,44.0,33,49,-2.82,0.31,-2.51,103.7,106.8,-3.1,89.0,0.339,0.138,0.515,,0.464,12.9,26.9,0.257,,0.502,14.3,73.4,0.243,,Ford Center,"744,920","18,717",2006
353,Toronto Raptors,25.9,27.0,55.0,33,49,-2.99,-0.04,-3.03,109.5,112.7,-3.2,91.1,0.315,0.244,0.548,,0.5,12.4,25.4,0.249,,0.53,13.5,73.3,0.263,,Air Canada Centre,"699,332","17,057",2006
354,Seattle SuperSonics,25.6,35.0,47.0,33,49,-3.02,0.15,-2.88,111.1,114.4,-3.3,91.6,0.314,0.243,0.551,,0.504,13.7,30.4,0.246,,0.527,13.6,69.0,0.26,,KeyArena at Seattle Center,"664,157","16,199",2006
355,Charlotte Bobcats,25.2,26.0,56.0,30,52,-4.0,0.1,-3.9,102.5,106.7,-4.2,93.4,0.319,0.184,0.509,,0.464,13.0,27.1,0.233,,0.514,16.5,70.7,0.263,,Charlotte Bobcats Arena,"671,011","16,366",2006
356,Atlanta Hawks,22.7,26.0,56.0,28,54,-4.76,0.07,-4.69,106.4,111.6,-5.2,90.4,0.34,0.178,0.534,,0.486,14.7,31.4,0.255,,0.513,14.1,69.5,0.275,,Philips Arena,"617,817","15,069",2006
357,New York Knicks,25.6,23.0,59.0,24,58,-6.4,0.11,-6.3,104.0,111.0,-7.0,90.8,0.417,0.142,0.534,,0.481,16.5,31.2,0.303,,0.511,13.4,72.8,0.294,,Madison Square Garden (IV),"776,176","18,931",2006
358,Portland Trail Blazers,24.6,21.0,61.0,16,66,-9.45,0.54,-8.91,101.1,111.9,-10.8,87.6,0.31,0.166,0.511,,0.474,14.5,26.6,0.214,,0.507,12.6,68.2,0.231,,Rose Garden Arena,"617,019","15,049",2006
359,League Average,26.6,,,41,41,0.0,0.0,0.0,106.2,106.2,,90.5,0.333,0.202,0.536,,0.49,13.7,27.3,0.248,,0.49,13.7,72.7,0.248,,,"719,853","17,571",2006
360,San Antonio Spurs*,30.4,58.0,24.0,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.313,0.247,0.561,,0.521,13.6,24.2,0.235,,0.471,14.0,75.7,0.201,,AT&T Center,"764,823","18,654",2007
361,Dallas Mavericks*,28.1,67.0,15.0,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.317,0.218,0.559,,0.509,13.4,28.7,0.256,,0.477,14.2,75.0,0.265,,American Airlines Center,"834,411","20,351",2007
362,Phoenix Suns*,27.6,61.0,21.0,59,23,7.3,-0.03,7.28,113.9,106.4,7.5,95.6,0.267,0.287,0.59,,0.551,13.4,22.7,0.215,,0.492,13.6,71.9,0.206,,US Airways Center,"755,302","18,422",2007
363,Chicago Bulls*,26.0,49.0,33.0,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.313,0.186,0.534,,0.493,14.7,28.6,0.229,,0.473,16.2,74.3,0.252,,United Center,"912,364","22,253",2007
364,Houston Rockets*,28.2,52.0,30.0,55,27,4.85,0.19,5.04,106.0,100.7,5.3,90.7,0.292,0.29,0.54,,0.499,13.6,25.7,0.22,,0.466,13.6,77.0,0.23,,Toyota Center,"678,362","16,545",2007
365,Detroit Pistons*,29.0,53.0,29.0,53,29,4.16,-0.47,3.69,108.9,104.2,4.7,87.3,0.307,0.201,0.535,,0.488,12.0,28.3,0.237,,0.477,14.3,70.9,0.234,,The Palace of Auburn Hills,"905,116","22,076",2007
366,Cleveland Cavaliers*,26.9,50.0,32.0,52,30,3.83,-0.5,3.33,105.5,101.3,4.2,90.8,0.32,0.211,0.522,,0.484,13.4,29.7,0.223,,0.48,14.7,75.8,0.243,,Quicken Loans Arena,"837,883","20,436",2007
367,Utah Jazz*,25.9,51.0,31.0,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.163,0.551,,0.502,14.5,31.7,0.283,,0.496,14.4,75.1,0.314,,EnergySolutions Arena,"802,214","19,566",2007
368,Denver Nuggets*,26.5,45.0,37.0,45,37,1.62,0.07,1.69,107.6,105.9,1.7,97.4,0.36,0.212,0.548,,0.501,14.6,28.9,0.268,,0.499,14.5,71.8,0.203,,Pepsi Center,"706,437","17,230",2007
369,Toronto Raptors*,26.0,47.0,35.0,44,38,0.99,-0.38,0.61,107.0,106.0,1.0,92.6,0.303,0.224,0.55,,0.504,13.0,22.2,0.239,,0.503,14.3,74.5,0.219,,Air Canada Centre,"748,603","18,259",2007
370,Orlando Magic*,25.6,40.0,42.0,43,39,0.78,-0.43,0.35,104.9,104.1,0.8,89.9,0.393,0.158,0.544,,0.5,16.3,29.3,0.276,,0.48,14.6,73.7,0.286,,Amway Arena,"700,887","17,095",2007
371,Los Angeles Lakers*,25.3,42.0,40.0,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.333,0.259,0.554,,0.511,14.3,26.1,0.249,,0.5,13.5,72.3,0.262,,STAPLES Center,"778,415","18,986",2007
372,Golden State Warriors*,24.6,42.0,40.0,40,42,-0.34,0.34,0.0,107.0,107.4,-0.4,99.2,0.3,0.279,0.548,,0.512,14.1,25.6,0.215,,0.506,16.1,69.6,0.264,,Oracle Arena,"742,267","18,104",2007
373,Washington Wizards*,26.8,41.0,41.0,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.356,0.237,0.542,,0.491,12.6,28.1,0.272,,0.517,14.4,71.0,0.249,,Verizon Center,"753,283","18,373",2007
374,Los Angeles Clippers,27.5,40.0,42.0,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.355,0.143,0.537,,0.481,14.5,27.2,0.28,,0.488,13.3,74.7,0.249,,STAPLES Center,"755,261","18,421",2007
375,New Jersey Nets*,28.2,41.0,41.0,39,43,-0.77,-0.23,-1.0,105.7,106.6,-0.9,91.4,0.338,0.263,0.546,,0.504,14.2,24.6,0.245,,0.49,13.7,74.4,0.266,,Continental Airlines Arena,"693,955","16,926",2007
376,Miami Heat*,29.3,44.0,38.0,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.321,0.245,0.541,,0.506,14.3,24.9,0.222,,0.485,13.8,73.3,0.232,,AmericanAirlines Arena,"808,541","19,721",2007
377,New Orleans/Oklahoma City Hornets,26.4,39.0,43.0,36,46,-1.57,0.38,-1.19,104.8,106.5,-1.7,90.2,0.291,0.188,0.52,,0.479,13.6,29.1,0.215,,0.499,13.2,74.7,0.212,,Ford Center,"731,165","17,954",2007
378,Sacramento Kings,27.3,33.0,49.0,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.379,0.232,0.545,,0.491,13.5,23.1,0.289,,0.513,14.9,72.5,0.24,,ARCO Arena (II),"709,997","17,317",2007
379,Indiana Pacers,27.2,35.0,47.0,34,48,-2.44,-0.18,-2.62,102.9,105.5,-2.6,92.4,0.324,0.212,0.523,,0.474,15.1,28.4,0.246,,0.491,14.8,72.7,0.271,,Conseco Fieldhouse,"629,750","15,360",2007
380,Seattle SuperSonics,25.9,31.0,51.0,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.288,0.219,0.544,,0.499,14.5,27.8,0.228,,0.515,14.1,70.9,0.243,,KeyArena at Seattle Center,"654,163","15,955",2007
381,New York Knicks,25.4,33.0,49.0,33,49,-2.85,-0.21,-3.06,105.7,108.8,-3.1,90.8,0.377,0.216,0.539,,0.494,15.9,31.0,0.27,,0.504,13.0,74.0,0.246,,Madison Square Garden (IV),"770,617","18,796",2007
382,Philadelphia 76ers,26.2,35.0,47.0,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.333,0.128,0.53,,0.48,14.6,27.2,0.255,,0.501,14.7,70.8,0.221,,Wachovia Center,"608,603","14,844",2007
383,Boston Celtics,23.5,24.0,58.0,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.337,0.199,0.53,,0.479,15.4,27.0,0.259,,0.502,14.5,73.8,0.28,,TD Banknorth Garden,"690,576","16,843",2007
384,Minnesota Timberwolves,27.7,32.0,50.0,30,52,-3.67,0.51,-3.16,103.9,107.9,-4.0,91.0,0.291,0.167,0.537,,0.49,14.8,25.1,0.231,,0.498,13.3,72.1,0.226,,Target Center,"655,947","15,999",2007
385,Charlotte Bobcats,25.5,33.0,49.0,30,52,-3.74,-0.22,-3.97,103.6,107.6,-4.0,92.0,0.322,0.193,0.524,,0.48,13.9,26.4,0.236,,0.5,14.7,71.6,0.279,,Charlotte Bobcats Arena,"637,520","15,549",2007
386,Milwaukee Bucks,26.0,28.0,54.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,-4.7,92.3,0.286,0.219,0.541,,0.504,14.1,27.6,0.209,,0.522,14.5,68.1,0.234,,Bradley Center,"663,629","16,186",2007
387,Portland Trail Blazers,24.4,32.0,50.0,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.314,0.193,0.53,,0.483,14.5,28.2,0.241,,0.508,13.5,73.0,0.267,,Rose Garden Arena,"670,778","16,360",2007
388,Atlanta Hawks,24.1,30.0,52.0,27,55,-4.76,-0.1,-4.86,103.0,108.3,-5.3,90.0,0.346,0.163,0.523,,0.471,15.1,29.2,0.263,,0.503,14.5,70.9,0.268,,Philips Arena,"639,375","15,595",2007
389,Memphis Grizzlies,26.2,22.0,60.0,27,55,-5.15,0.71,-4.44,106.9,112.3,-5.4,93.6,0.374,0.211,0.555,,0.504,15.2,25.9,0.285,,0.529,14.0,71.1,0.237,,FedEx Forum,"600,836","14,655",2007
390,League Average,26.7,,,41,41,0.0,0.0,0.0,106.5,106.5,,91.9,0.327,0.213,0.541,,0.496,14.2,27.1,0.246,,0.496,14.2,72.9,0.246,,,"728,036","17,760",2007
391,Boston Celtics*,27.9,66.0,16.0,67,15,10.26,-0.95,9.3,110.2,98.9,11.3,90.9,0.346,0.249,0.569,,0.522,14.7,26.6,0.267,,0.457,15.2,74.4,0.253,,TD Banknorth Garden,"763,584","18,624",2008
392,Detroit Pistons*,28.3,59.0,23.0,62,20,7.39,-0.72,6.67,111.4,102.9,8.5,87.3,0.3,0.203,0.539,,0.495,11.4,29.4,0.23,,0.47,13.4,73.7,0.244,,The Palace of Auburn Hills,"905,116","22,076",2008
393,Los Angeles Lakers*,26.7,57.0,25.0,59,23,7.26,0.09,7.34,113.0,105.5,7.5,95.6,0.333,0.257,0.57,,0.525,12.9,26.3,0.256,,0.485,12.9,73.4,0.214,,STAPLES Center,"778,877","18,997",2008
394,Utah Jazz*,25.3,54.0,28.0,59,23,6.88,-0.01,6.86,113.8,106.5,7.3,93.2,0.349,0.166,0.573,,0.528,13.6,29.5,0.265,,0.501,15.0,74.1,0.294,,EnergySolutions Arena,"816,211","19,908",2008
395,Orlando Magic*,26.7,52.0,30.0,56,26,5.46,-0.68,4.79,111.3,105.5,5.8,93.4,0.355,0.322,0.575,,0.537,13.6,23.4,0.256,,0.484,12.3,74.8,0.217,,Amway Arena,"709,346","17,301",2008
396,New Orleans Hornets*,27.1,56.0,26.0,56,26,5.28,0.18,5.46,111.5,105.7,5.8,89.9,0.251,0.239,0.548,,0.512,11.4,27.0,0.193,,0.501,13.5,75.4,0.184,,New Orleans Arena,"581,432","14,181",2008
397,San Antonio Spurs*,31.4,56.0,26.0,55,27,4.79,0.31,5.1,107.2,101.8,5.4,88.8,0.276,0.251,0.543,,0.504,12.6,23.4,0.21,,0.477,12.8,77.1,0.201,,AT&T Center,"761,149","18,565",2008
398,Houston Rockets*,28.3,55.0,27.0,55,27,4.68,0.15,4.83,106.8,101.6,5.2,90.4,0.276,0.255,0.528,,0.492,13.0,29.1,0.2,,0.465,12.8,74.8,0.214,,Toyota Center,"718,524","17,525",2008
399,Phoenix Suns*,29.3,55.0,27.0,54,28,5.05,0.09,5.14,113.3,108.1,5.2,96.7,0.292,0.26,0.59,,0.551,13.4,22.4,0.228,,0.488,11.8,70.9,0.191,,US Airways Center,"755,302","18,422",2008
400,Dallas Mavericks*,28.9,51.0,31.0,54,28,4.54,0.16,4.7,111.1,106.1,5.0,90.2,0.318,0.215,0.554,,0.502,12.3,26.7,0.259,,0.474,11.7,75.0,0.252,,American Airlines Center,"831,738","20,286",2008
401,Denver Nuggets*,28.5,50.0,32.0,51,31,3.71,0.03,3.74,110.0,106.3,3.7,99.7,0.358,0.228,0.557,,0.51,12.9,25.5,0.269,,0.499,14.1,72.1,0.203,,Pepsi Center,"711,962","17,365",2008
402,Toronto Raptors*,26.3,41.0,41.0,49,33,2.9,-0.44,2.47,110.2,107.0,3.2,90.2,0.247,0.217,0.551,,0.511,11.4,23.4,0.2,,0.505,13.5,75.0,0.205,,Air Canada Centre,"796,835","19,435",2008
403,Golden State Warriors,25.5,48.0,34.0,47,35,2.21,0.17,2.38,111.8,109.5,2.3,98.8,0.276,0.295,0.548,,0.511,11.5,27.2,0.208,,0.509,14.7,70.3,0.258,,Oracle Arena,"804,864","19,631",2008
404,Philadelphia 76ers*,25.3,40.0,42.0,42,40,0.41,-0.23,0.19,106.4,106.0,0.4,90.4,0.321,0.143,0.522,,0.482,13.4,31.8,0.227,,0.504,15.1,72.0,0.205,,Wachovia Center,"609,675","14,870",2008
405,Washington Wizards*,27.2,43.0,39.0,40,42,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,0.297,0.241,0.535,,0.489,12.5,28.9,0.233,,0.513,13.5,72.8,0.217,,Verizon Center,"736,461","17,962",2008
406,Cleveland Cavaliers*,27.1,45.0,37.0,40,42,-0.35,-0.17,-0.53,106.0,106.4,-0.4,90.2,0.308,0.231,0.52,,0.48,13.1,30.4,0.221,,0.494,12.9,75.9,0.24,,Quicken Loans Arena,"839,074","20,465",2008
407,Portland Trail Blazers,24.1,41.0,41.0,38,44,-0.98,0.45,-0.52,107.3,108.4,-1.1,87.9,0.281,0.218,0.532,,0.489,12.6,26.8,0.216,,0.491,12.1,71.8,0.212,,Rose Garden Arena,"801,566","19,550",2008
408,Indiana Pacers,26.7,36.0,46.0,37,45,-1.4,-0.46,-1.87,106.0,107.5,-1.5,97.7,0.292,0.289,0.54,,0.498,13.5,24.4,0.224,,0.498,14.1,73.9,0.271,,Conseco Fieldhouse,"501,092","12,222",2008
409,Atlanta Hawks*,24.2,37.0,45.0,36,46,-1.82,-0.41,-2.23,106.9,108.9,-2.0,91.1,0.34,0.165,0.535,,0.483,14.0,29.7,0.263,,0.501,12.9,71.7,0.217,,Philips Arena,"667,518","16,281",2008
410,Sacramento Kings,27.3,38.0,44.0,35,47,-2.26,0.4,-1.86,107.5,109.9,-2.4,94.7,0.346,0.208,0.556,,0.503,14.8,25.2,0.276,,0.51,13.9,71.7,0.256,,ARCO Arena (II),"580,181","14,151",2008
411,Chicago Bulls,25.7,33.0,49.0,32,50,-3.09,-0.11,-3.19,103.9,107.2,-3.3,93.0,0.296,0.19,0.515,,0.47,13.4,28.9,0.223,,0.496,14.2,73.1,0.258,,United Center,"901,502","21,988",2008
412,Charlotte Bobcats,26.3,32.0,50.0,29,53,-4.38,-0.11,-4.49,104.6,109.4,-4.8,91.8,0.323,0.22,0.532,,0.492,13.9,25.6,0.23,,0.505,13.4,71.0,0.235,,Charlotte Bobcats Arena,"603,403","14,717",2008
413,New Jersey Nets,27.4,34.0,48.0,27,55,-5.06,-0.09,-5.15,104.0,109.4,-5.4,91.5,0.347,0.222,0.528,,0.481,14.2,26.6,0.255,,0.497,12.7,73.8,0.271,,Izod Center,"641,921","15,657",2008
414,Memphis Grizzlies,24.5,22.0,60.0,25,57,-6.21,0.45,-5.76,105.0,111.4,-6.4,95.3,0.311,0.264,0.539,,0.5,14.0,23.8,0.225,,0.521,12.2,73.4,0.196,,FedEx Forum,"523,578","12,770",2008
415,New York Knicks,25.7,23.0,59.0,23,59,-6.61,0.06,-6.55,104.7,111.9,-7.2,91.6,0.31,0.215,0.518,,0.475,13.4,28.6,0.226,,0.518,12.1,72.7,0.229,,Madison Square Garden (IV),"783,739","19,116",2008
416,Minnesota Timberwolves,24.6,22.0,60.0,23,59,-6.78,0.52,-6.26,103.8,111.2,-7.4,91.9,0.248,0.185,0.518,,0.484,13.6,27.5,0.183,,0.513,12.9,73.6,0.269,,Target Center,"593,537","14,477",2008
417,Milwaukee Bucks,25.8,26.0,56.0,23,59,-6.89,-0.03,-6.92,105.3,112.8,-7.5,91.3,0.294,0.195,0.522,,0.482,13.7,30.0,0.215,,0.524,13.0,73.0,0.25,,Bradley Center,"639,421","15,596",2008
418,Los Angeles Clippers,28.5,23.0,59.0,21,61,-7.27,0.71,-6.56,101.2,109.1,-7.9,92.1,0.338,0.167,0.519,,0.465,13.7,23.1,0.264,,0.503,12.8,73.1,0.236,,STAPLES Center,"692,408","16,888",2008
419,Seattle SuperSonics,25.4,20.0,62.0,19,63,-8.76,0.72,-8.04,100.5,109.5,-9.0,96.3,0.265,0.134,0.509,,0.467,14.3,26.8,0.204,,0.503,11.9,73.7,0.215,,KeyArena at Seattle Center,"547,556","13,355",2008
420,Miami Heat,27.4,15.0,67.0,18,64,-8.65,0.11,-8.53,100.5,110.0,-9.5,90.2,0.3,0.217,0.522,,0.482,14.4,22.1,0.218,,0.51,13.6,71.9,0.245,,AmericanAirlines Arena,"798,004","19,464",2008
421,League Average,27.0,,,41,41,0.0,0.0,0.0,107.5,107.5,,92.4,0.306,0.222,0.54,,0.497,13.2,26.7,0.231,,0.497,13.2,73.3,0.231,,,"713,186","17,395",2008
422,Cleveland Cavaliers*,26.6,66.0,16.0,65,17,8.93,-0.25,8.68,112.4,102.4,10.0,88.7,0.312,0.259,0.56,,0.519,12.5,27.7,0.236,,0.468,13.5,74.6,0.226,,Quicken Loans Arena,"841,000","20,512",2009
423,Boston Celtics*,27.8,62.0,20.0,61,21,7.51,-0.07,7.44,110.5,102.3,8.2,90.4,0.328,0.214,0.571,,0.528,15.0,27.9,0.251,,0.47,14.0,75.6,0.253,,TD Banknorth Garden,"763,584","18,624",2009
424,Los Angeles Lakers*,27.4,65.0,17.0,61,21,7.66,-0.55,7.11,112.8,104.7,8.1,94.3,0.299,0.217,0.555,,0.513,12.3,29.4,0.23,,0.49,14.2,73.0,0.213,,STAPLES Center,"778,877","18,997",2009
425,Orlando Magic*,27.3,59.0,23.0,59,23,6.7,-0.21,6.48,109.2,101.9,7.3,92.3,0.351,0.335,0.559,,0.52,13.4,24.0,0.251,,0.465,12.3,75.9,0.209,,Amway Arena,"698,768","17,043",2009
426,Portland Trail Blazers*,24.0,54.0,28.0,56,26,5.34,-0.35,5.0,113.9,107.8,6.1,86.6,0.306,0.239,0.553,,0.511,12.5,32.6,0.234,,0.499,13.2,75.0,0.227,,Rose Garden Arena,"841,499","20,524",2009
427,Houston Rockets*,27.9,53.0,29.0,53,29,4.0,-0.27,3.73,108.4,104.0,4.4,90.2,0.292,0.254,0.548,,0.501,13.6,26.4,0.235,,0.479,11.9,75.3,0.192,,Toyota Center,"717,669","17,504",2009
428,San Antonio Spurs*,30.4,54.0,28.0,52,30,3.76,-0.4,3.36,108.5,104.3,4.2,88.4,0.251,0.248,0.548,,0.513,11.7,22.1,0.191,,0.487,11.7,78.0,0.191,,AT&T Center,"749,048","18,269",2009
429,Denver Nuggets*,27.7,54.0,28.0,50,32,3.41,-0.29,3.13,110.4,106.8,3.6,94.3,0.382,0.227,0.563,,0.512,14.2,27.5,0.29,,0.485,14.1,71.7,0.259,,Pepsi Center,"706,165","17,224",2009
430,Utah Jazz*,25.5,48.0,34.0,48,34,2.65,-0.34,2.31,110.1,107.3,2.8,93.1,0.355,0.169,0.554,,0.504,13.6,28.2,0.274,,0.505,15.0,72.7,0.262,,EnergySolutions Arena,"816,042","19,903",2009
431,Dallas Mavericks*,29.0,50.0,32.0,47,35,1.98,-0.3,1.68,110.5,108.4,2.1,91.5,0.274,0.241,0.55,,0.504,12.1,26.6,0.224,,0.493,12.3,74.6,0.225,,American Airlines Center,"821,723","20,042",2009
432,Phoenix Suns,29.5,46.0,36.0,46,36,1.93,-0.31,1.62,113.6,111.6,2.0,96.0,0.336,0.216,0.584,,0.545,14.4,27.7,0.25,,0.511,12.8,71.7,0.233,,US Airways Center,"755,302","18,422",2009
433,Atlanta Hawks*,25.8,47.0,35.0,46,36,1.57,0.13,1.7,109.3,107.6,1.7,89.6,0.323,0.253,0.546,,0.504,12.5,26.0,0.238,,0.494,13.2,71.6,0.21,,Philips Arena,"686,688","16,748",2009
434,New Orleans Hornets*,28.2,49.0,33.0,46,36,1.55,-0.14,1.41,108.7,107.0,1.7,87.8,0.288,0.24,0.548,,0.501,12.5,24.6,0.232,,0.496,13.2,74.9,0.23,,New Orleans Arena,"695,727","16,969",2009
435,Miami Heat*,25.6,43.0,39.0,42,40,0.26,0.23,0.49,107.8,107.6,0.2,89.9,0.282,0.245,0.54,,0.5,12.1,24.6,0.212,,0.501,14.5,72.9,0.251,,AmericanAirlines Arena,"748,778","18,263",2009
436,Philadelphia 76ers*,26.1,41.0,41.0,41,41,0.07,0.09,0.16,107.9,107.8,0.1,90.0,0.339,0.164,0.532,,0.485,13.4,31.3,0.253,,0.507,14.9,71.4,0.216,,Wachovia Center,"647,898","15,802",2009
437,Chicago Bulls*,24.9,41.0,41.0,40,42,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,0.3,0.189,0.541,,0.493,13.3,28.0,0.239,,0.493,13.1,70.9,0.238,,United Center,"868,667","21,187",2009
438,Detroit Pistons*,28.2,39.0,43.0,40,42,-0.49,0.13,-0.36,107.4,108.0,-0.6,86.7,0.282,0.165,0.524,,0.483,11.7,27.9,0.212,,0.485,11.7,74.0,0.248,,The Palace of Auburn Hills,"896,971","21,877",2009
439,Indiana Pacers,26.5,36.0,46.0,38,44,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,0.267,0.244,0.545,,0.501,13.1,25.4,0.215,,0.499,12.7,74.5,0.271,,Conseco Fieldhouse,"581,472","14,182",2009
440,Milwaukee Bucks,26.3,34.0,48.0,38,44,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,0.306,0.208,0.531,,0.483,13.1,27.8,0.239,,0.503,15.6,74.0,0.315,,Bradley Center,"630,976","15,390",2009
441,Charlotte Bobcats,25.8,35.0,47.0,37,45,-1.27,0.07,-1.2,104.7,106.1,-1.4,88.3,0.312,0.213,0.536,,0.494,15.1,27.7,0.231,,0.498,14.4,73.0,0.229,,Time Warner Cable Arena,"597,548","14,574",2009
442,New York Knicks,25.7,32.0,50.0,34,48,-2.61,0.28,-2.33,108.1,110.8,-2.7,96.7,0.268,0.322,0.544,,0.503,12.9,24.4,0.21,,0.52,13.0,72.7,0.215,,Madison Square Garden (IV),"790,801","19,288",2009
443,New Jersey Nets,25.7,34.0,48.0,34,48,-2.44,0.13,-2.31,108.3,111.0,-2.7,89.9,0.303,0.265,0.543,,0.497,12.7,25.2,0.236,,0.509,13.0,73.5,0.272,,Izod Center,"621,062","15,148",2009
444,Toronto Raptors,27.0,33.0,49.0,33,49,-2.82,0.28,-2.54,107.0,110.0,-3.0,92.0,0.279,0.193,0.542,,0.494,12.8,24.0,0.23,,0.511,12.6,73.7,0.202,,Air Canada Centre,"769,707","18,773",2009
445,Golden State Warriors,25.0,29.0,53.0,31,51,-3.74,-0.06,-3.8,109.5,113.3,-3.8,98.2,0.339,0.209,0.549,,0.497,12.9,26.1,0.268,,0.508,12.9,68.1,0.251,,Oracle Arena,"776,660","18,943",2009
446,Minnesota Timberwolves,25.4,24.0,58.0,27,55,-4.91,0.18,-4.74,106.1,111.4,-5.3,91.6,0.289,0.227,0.526,,0.481,13.3,27.7,0.222,,0.515,12.0,75.0,0.254,,Target Center,"595,013","14,513",2009
447,Memphis Grizzlies,23.3,24.0,58.0,26,56,-5.46,0.24,-5.23,103.5,109.5,-6.0,90.1,0.329,0.175,0.533,,0.486,14.8,25.8,0.249,,0.515,14.1,73.5,0.247,,FedEx Forum,"519,895","12,680",2009
448,Oklahoma City Thunder,24.5,23.0,59.0,24,58,-6.1,0.06,-6.04,102.9,109.4,-6.5,93.6,0.308,0.141,0.521,,0.471,14.8,28.6,0.242,,0.514,13.0,73.9,0.216,,Ford Center,"766,868","18,704",2009
449,Washington Wizards,26.9,19.0,63.0,21,61,-7.46,0.48,-6.98,105.4,113.6,-8.2,91.0,0.293,0.18,0.524,,0.48,13.2,27.7,0.224,,0.533,13.3,71.4,0.227,,Verizon Center,"681,119","16,613",2009
450,Sacramento Kings,26.3,17.0,65.0,19,63,-8.76,0.16,-8.6,105.5,114.7,-9.2,94.2,0.315,0.238,0.542,,0.491,14.3,24.5,0.252,,0.526,13.0,69.9,0.269,,ARCO Arena (II),"520,169","12,687",2009
451,Los Angeles Clippers,26.6,19.0,63.0,18,64,-8.77,0.3,-8.47,102.3,111.7,-9.4,92.1,0.275,0.226,0.52,,0.481,14.0,25.1,0.202,,0.512,12.4,71.2,0.227,,STAPLES Center,"663,587","16,185",2009
