Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,O_TOV%,ORB%,O_FT/FGA,D_eFG%,DRB%,D_FT/FGA,Year
Detroit Pistons,26.7,27.0,55.0,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,12.8,30.3,0.22,0.526,73.4,0.264,2010
Los Angeles Clippers,27.3,29.0,53.0,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.283,0.221,0.529,14.8,27.1,0.206,0.509,74.0,0.214,2010
Minnesota Timberwolves,24.1,15.0,67.0,17,65,-9.6,0.54,-9.06,101.7,111.6,-9.9,96.1,0.278,0.171,0.518,14.6,26.7,0.207,0.525,73.6,0.22,2010
New Jersey Nets,24.8,12.0,70.0,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,0.307,0.181,0.509,13.7,25.1,0.24,0.517,71.8,0.229,2010
League Average,26.8,,,41,41,0.0,-0.01,-0.01,107.6,107.6,,92.7,0.3,0.222,0.543,13.3,26.3,0.228,0.501,73.7,0.228,2010
Miami Heat*,29.0,58.0,24.0,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,13.5,25.2,0.279,0.475,75.5,0.223,2011
Chicago Bulls*,26.4,62.0,20.0,61,21,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,13.5,29.4,0.227,0.463,76.2,0.222,2011
Los Angeles Lakers*,30.2,57.0,25.0,58,24,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,12.3,29.2,0.228,0.477,72.3,0.181,2011
San Antonio Spurs*,28.8,61.0,21.0,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,12.8,24.9,0.229,0.491,74.6,0.19,2011
Boston Celtics*,29.5,56.0,26.0,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,14.5,21.1,0.235,0.469,74.7,0.235,2011
Orlando Magic*,27.6,52.0,30.0,56,26,5.46,-0.54,4.92,107.9,102.0,5.9,91.2,0.328,0.328,0.554,14.3,26.1,0.227,0.475,76.9,0.219,2011
Denver Nuggets*,27.3,50.0,32.0,54,28,4.76,0.05,4.81,112.3,107.3,5.0,95.6,0.367,0.258,0.574,13.1,23.9,0.281,0.5,75.4,0.224,2011
Dallas Mavericks*,30.9,57.0,25.0,53,29,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,13.6,24.1,0.222,0.488,74.8,0.206,2011
Oklahoma City Thunder*,23.7,55.0,27.0,51,31,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,13.1,27.4,0.299,0.493,73.6,0.228,2011
Memphis Grizzlies*,25.2,46.0,36.0,48,34,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,13.0,28.9,0.218,0.502,72.5,0.228,2011
Houston Rockets,26.5,43.0,39.0,47,35,2.18,0.19,2.37,111.3,109.0,2.3,94.2,0.299,0.264,0.55,12.3,27.4,0.239,0.5,72.7,0.219,2011
Portland Trail Blazers*,26.7,48.0,34.0,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,0.278,0.228,0.533,12.6,29.5,0.224,0.51,72.0,0.231,2011
Philadelphia 76ers*,24.7,41.0,41.0,45,37,1.5,-0.5,1.01,106.6,105.0,1.6,91.7,0.273,0.184,0.535,12.3,24.6,0.21,0.487,74.5,0.231,2011
New Orleans Hornets*,26.3,46.0,36.0,44,38,0.89,0.39,1.28,106.2,105.2,1.0,88.7,0.296,0.192,0.537,12.8,25.1,0.226,0.501,76.2,0.22,2011
New York Knicks*,25.3,42.0,40.0,43,39,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,12.6,24.2,0.246,0.511,71.9,0.24,2011
Milwaukee Bucks,26.7,35.0,47.0,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,0.287,0.216,0.511,13.0,24.7,0.217,0.481,74.8,0.236,2011
Phoenix Suns,29.6,40.0,42.0,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,0.283,0.271,0.559,13.2,23.7,0.215,0.513,71.6,0.211,2011
Atlanta Hawks*,27.4,44.0,38.0,39,43,-0.82,-0.28,-1.1,106.1,107.0,-0.9,89.3,0.269,0.222,0.542,13.5,23.4,0.209,0.495,74.6,0.211,2011
Indiana Pacers*,25.9,37.0,45.0,38,44,-1.07,-0.3,-1.38,104.8,106.0,-1.2,94.7,0.3,0.244,0.533,14.1,25.9,0.235,0.487,74.1,0.237,2011
Utah Jazz,26.8,39.0,43.0,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,0.313,0.191,0.544,13.5,27.0,0.241,0.505,71.7,0.275,2011
Golden State Warriors,25.2,36.0,46.0,35,47,-2.33,0.33,-2.0,108.2,110.7,-2.5,94.8,0.241,0.248,0.544,13.3,26.7,0.183,0.509,69.3,0.259,2011
Los Angeles Clippers,24.6,32.0,50.0,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,0.332,0.23,0.535,15.1,28.4,0.234,0.499,73.2,0.25,2011
Detroit Pistons,27.2,30.0,52.0,31,51,-3.6,-0.18,-3.78,107.7,111.7,-4.0,89.2,0.279,0.189,0.533,12.5,27.4,0.206,0.526,72.1,0.235,2011
Charlotte Bobcats,26.9,34.0,48.0,29,53,-4.0,-0.08,-4.08,103.4,107.8,-4.4,89.6,0.314,0.189,0.528,14.1,25.7,0.237,0.5,75.2,0.229,2011
Sacramento Kings,24.8,24.0,58.0,27,55,-5.34,0.54,-4.8,103.5,109.0,-5.5,95.2,0.284,0.183,0.519,14.4,29.9,0.208,0.513,74.4,0.233,2011
New Jersey Nets,24.8,24.0,58.0,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,0.283,0.201,0.517,13.4,26.1,0.215,0.503,74.2,0.241,2011
Toronto Raptors,24.5,22.0,60.0,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,0.293,0.162,0.533,13.7,28.2,0.221,0.522,72.0,0.251,2011
Minnesota Timberwolves,23.8,17.0,65.0,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,15.1,29.6,0.217,0.514,73.7,0.251,2011
Washington Wizards,24.9,23.0,59.0,22,60,-7.4,0.11,-7.3,102.4,110.2,-7.8,93.8,0.29,0.172,0.513,13.9,28.0,0.216,0.512,70.5,0.249,2011
Cleveland Cavaliers,26.6,19.0,63.0,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93.0,0.312,0.224,0.518,13.4,24.2,0.233,0.524,73.3,0.211,2011
League Average,26.7,,,41,41,0.0,0.0,0.0,107.3,107.3,,92.1,0.3,0.222,0.541,13.4,26.4,0.229,0.498,73.6,0.229,2011
Chicago Bulls*,27.1,50.0,16.0,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,13.2,32.6,0.184,0.45,74.3,0.175,2012
San Antonio Spurs*,27.5,50.0,16.0,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,12.8,25.1,0.195,0.489,76.0,0.168,2012
Oklahoma City Thunder*,25.1,47.0,19.0,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,15.3,27.8,0.269,0.465,72.1,0.207,2012
Miami Heat*,28.3,46.0,20.0,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,14.5,26.6,0.238,0.479,73.9,0.2,2012
Philadelphia 76ers*,24.9,35.0,31.0,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,10.9,24.4,0.161,0.46,75.2,0.192,2012
Atlanta Hawks*,27.9,40.0,26.0,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,13.4,23.9,0.192,0.48,74.4,0.186,2012
Indiana Pacers*,26.3,42.0,24.0,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,13.1,29.2,0.251,0.476,72.3,0.222,2012
New York Knicks*,26.3,36.0,30.0,41,25,3.2,-0.81,2.39,104.4,101.0,3.4,93.2,0.306,0.288,0.533,14.9,26.6,0.227,0.485,73.7,0.224,2012
Denver Nuggets*,26.6,38.0,28.0,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.326,0.243,0.556,14.1,27.7,0.239,0.508,74.3,0.185,2012
Boston Celtics*,29.3,39.0,27.0,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,14.7,19.7,0.2,0.452,72.4,0.216,2012
Los Angeles Clippers*,27.3,40.0,26.0,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,12.7,29.5,0.195,0.492,73.2,0.245,2012
Memphis Grizzlies*,25.6,41.0,25.0,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.277,0.157,0.515,13.6,29.8,0.211,0.485,72.7,0.227,2012
Los Angeles Lakers*,29.7,41.0,25.0,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,14.2,29.1,0.226,0.476,74.8,0.158,2012
Dallas Mavericks*,31.3,36.0,30.0,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.246,0.271,0.527,13.4,23.4,0.19,0.479,74.8,0.203,2012
Orlando Magic*,27.5,37.0,29.0,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,0.292,0.346,0.533,14.5,26.5,0.193,0.488,75.5,0.19,2012
Utah Jazz*,25.6,36.0,30.0,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,13.0,30.2,0.227,0.493,73.8,0.245,2012
Milwaukee Bucks,26.2,31.0,35.0,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,12.9,27.7,0.194,0.489,70.9,0.217,2012
Houston Rockets,26.2,34.0,32.0,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,13.5,27.5,0.184,0.49,73.4,0.21,2012
Phoenix Suns,28.9,33.0,33.0,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,13.3,25.8,0.194,0.491,71.7,0.2,2012
Portland Trail Blazers,27.5,28.0,38.0,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,13.4,26.3,0.209,0.504,72.8,0.199,2012
Minnesota Timberwolves,24.4,26.0,40.0,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,14.0,27.5,0.236,0.491,73.0,0.187,2012
Golden State Warriors,25.3,23.0,43.0,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,13.3,22.9,0.175,0.496,69.1,0.237,2012
Toronto Raptors,25.7,23.0,43.0,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,14.8,25.9,0.211,0.475,75.4,0.26,2012
New Orleans Hornets,25.5,21.0,45.0,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,15.2,27.5,0.207,0.485,73.1,0.218,2012
Washington Wizards,24.2,20.0,46.0,22,44,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,14.2,27.3,0.184,0.492,70.9,0.229,2012
Detroit Pistons,26.3,25.0,41.0,22,44,-4.79,-0.4,-5.19,101.0,106.3,-5.3,89.2,0.279,0.175,0.51,15.0,28.1,0.21,0.5,72.8,0.226,2012
Sacramento Kings,24.3,22.0,44.0,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,13.0,29.1,0.197,0.515,70.5,0.199,2012
New Jersey Nets,26.1,22.0,44.0,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,14.3,27.8,0.209,0.513,70.7,0.209,2012
Cleveland Cavaliers,26.0,21.0,45.0,17,49,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,14.3,28.9,0.22,0.508,72.2,0.202,2012
Charlotte Bobcats,24.5,7.0,59.0,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,13.9,23.6,0.206,0.512,70.9,0.206,2012
League Average,26.7,,,33,33,0.0,0.0,0.0,104.6,104.6,,91.3,0.276,0.226,0.527,13.8,27.0,0.208,0.487,73.0,0.208,2012
Oklahoma City Thunder*,26.0,60.0,22.0,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,14.4,26.7,0.28,0.469,73.4,0.197,2013
Miami Heat*,30.3,66.0,16.0,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,13.7,22.2,0.224,0.487,73.0,0.2,2013
Los Angeles Clippers*,28.8,56.0,26.0,59,23,6.45,-0.02,6.43,110.6,103.6,7.0,91.1,0.286,0.265,0.557,13.9,28.8,0.203,0.492,73.5,0.229,2013
San Antonio Spurs*,28.6,58.0,24.0,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,14.0,20.5,0.204,0.48,74.9,0.179,2013
Denver Nuggets*,26.1,57.0,25.0,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,13.6,31.4,0.216,0.493,71.8,0.193,2013
New York Knicks*,30.2,54.0,28.0,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,11.7,25.6,0.196,0.508,74.7,0.216,2013
Memphis Grizzlies*,27.0,56.0,26.0,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,13.3,31.0,0.202,0.475,74.3,0.209,2013
Indiana Pacers*,25.7,49.0,32.0,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,14.3,30.3,0.219,0.453,74.6,0.197,2013
Houston Rockets*,24.4,45.0,37.0,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,14.9,26.4,0.232,0.502,75.2,0.196,2013
Brooklyn Nets*,28.6,49.0,33.0,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,14.0,30.9,0.219,0.503,73.7,0.174,2013
Los Angeles Lakers*,30.7,45.0,37.0,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,13.9,27.0,0.239,0.496,74.3,0.163,2013
Golden State Warriors*,25.3,47.0,35.0,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,14.0,25.4,0.201,0.486,75.5,0.211,2013
Atlanta Hawks*,27.1,44.0,38.0,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,14.2,22.2,0.174,0.496,73.6,0.181,2013
Chicago Bulls*,28.0,45.0,37.0,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,13.6,29.4,0.201,0.477,73.6,0.206,2013
Utah Jazz,26.3,43.0,39.0,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,13.8,28.8,0.214,0.501,73.2,0.226,2013
Boston Celtics*,29.1,41.0,40.0,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,14.1,20.1,0.204,0.482,73.3,0.216,2013
Dallas Mavericks,29.5,41.0,41.0,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,13.0,21.8,0.192,0.492,73.1,0.227,2013
Milwaukee Bucks*,26.4,38.0,44.0,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,12.7,27.9,0.174,0.492,71.3,0.201,2013
Toronto Raptors,25.4,34.0,48.0,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,13.0,25.5,0.216,0.5,73.4,0.247,2013
Minnesota Timberwolves,26.4,31.0,51.0,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,13.8,27.4,0.226,0.511,74.0,0.187,2013
Washington Wizards,25.4,29.0,53.0,33,49,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,0.261,0.223,0.512,14.2,24.6,0.191,0.483,74.6,0.206,2013
Portland Trail Blazers,24.4,33.0,49.0,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,13.9,25.3,0.194,0.512,73.3,0.189,2013
Philadelphia 76ers,25.2,34.0,48.0,31,51,-3.34,-0.17,-3.51,102.0,105.7,-3.7,91.0,0.2,0.209,0.509,12.5,24.9,0.146,0.495,73.4,0.2,2013
Detroit Pistons,25.3,29.0,53.0,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,14.3,28.3,0.197,0.505,73.0,0.209,2013
New Orleans Hornets,24.0,27.0,55.0,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,14.0,29.2,0.193,0.52,74.4,0.208,2013
Cleveland Cavaliers,24.1,24.0,58.0,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,13.0,28.1,0.2,0.523,72.6,0.225,2013
Sacramento Kings,25.6,28.0,54.0,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,13.4,26.6,0.208,0.517,71.0,0.227,2013
Phoenix Suns,26.9,25.0,57.0,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,14.3,27.0,0.174,0.512,71.9,0.208,2013
Orlando Magic,24.6,20.0,62.0,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,13.7,25.4,0.149,0.508,74.6,0.195,2013
Charlotte Bobcats,24.4,21.0,61.0,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,13.2,25.7,0.233,0.524,71.1,0.197,2013
League Average,26.7,,,41,41,0.0,0.0,0.0,105.9,105.9,,92.0,0.27,0.243,0.535,13.7,26.5,0.204,0.496,73.5,0.204,2013
San Antonio Spurs*,28.9,62.0,20.0,61,21,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,13.5,22.7,0.188,0.482,76.4,0.184,2014
Los Angeles Clippers*,28.1,57.0,25.0,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,12.7,25.0,0.258,0.484,72.5,0.222,2014
Oklahoma City Thunder*,26.2,59.0,23.0,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,14.0,26.5,0.244,0.488,75.6,0.221,2014
Miami Heat*,30.6,54.0,28.0,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,14.6,20.6,0.228,0.511,73.0,0.212,2014
Golden State Warriors*,26.3,51.0,31.0,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,13.8,25.1,0.186,0.477,76.3,0.224,2014
Indiana Pacers*,27.2,56.0,26.0,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,14.3,24.9,0.226,0.46,76.8,0.197,2014
Houston Rockets*,25.4,54.0,28.0,53,29,4.56,0.5,5.06,111.0,106.3,4.7,96.3,0.386,0.33,0.571,14.6,27.4,0.275,0.489,74.1,0.193,2014
Portland Trail Blazers*,25.8,54.0,28.0,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,12.4,28.0,0.22,0.488,74.7,0.194,2014
Toronto Raptors*,25.6,48.0,34.0,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,13.2,27.2,0.239,0.493,74.9,0.237,2014
Phoenix Suns,26.2,48.0,34.0,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,14.0,26.4,0.222,0.496,73.7,0.237,2014
Minnesota Timberwolves,26.3,40.0,42.0,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,12.2,27.4,0.249,0.518,74.4,0.177,2014
Dallas Mavericks*,30.6,49.0,33.0,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,12.7,24.6,0.201,0.515,72.7,0.229,2014
Chicago Bulls*,28.6,48.0,34.0,47,35,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,14.2,27.2,0.226,0.471,75.4,0.189,2014
Memphis Grizzlies*,28.5,50.0,32.0,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,13.1,28.3,0.184,0.497,75.7,0.199,2014
Washington Wizards*,26.3,44.0,38.0,45,37,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,13.6,25.2,0.181,0.504,75.7,0.22,2014
Charlotte Bobcats*,25.5,43.0,39.0,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,11.7,21.9,0.219,0.491,77.6,0.183,2014
Atlanta Hawks*,27.5,38.0,44.0,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,14.3,21.0,0.208,0.51,74.4,0.196,2014
New York Knicks,28.3,37.0,45.0,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,12.5,25.1,0.189,0.514,74.3,0.245,2014
Brooklyn Nets*,30.0,44.0,38.0,38,44,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,14.1,21.7,0.236,0.509,72.3,0.236,2014
Denver Nuggets,26.0,36.0,46.0,35,47,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,14.0,27.5,0.222,0.5,74.5,0.233,2014
New Orleans Pelicans,24.3,34.0,48.0,33,49,-2.71,0.73,-1.98,107.2,110.1,-2.9,92.2,0.286,0.193,0.537,12.9,26.9,0.22,0.515,73.8,0.249,2014
Sacramento Kings,24.9,28.0,54.0,33,49,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,13.9,27.8,0.251,0.512,76.6,0.234,2014
Cleveland Cavaliers,24.9,33.0,49.0,32,50,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,13.0,27.2,0.201,0.508,75.8,0.199,2014
Detroit Pistons,24.7,29.0,53.0,31,51,-3.66,-0.48,-4.13,105.9,109.7,-3.8,94.9,0.296,0.222,0.514,12.9,31.4,0.199,0.52,73.4,0.218,2014
Boston Celtics,25.4,25.0,57.0,28,54,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,14.2,27.4,0.193,0.505,74.2,0.227,2014
Orlando Magic,24.6,23.0,59.0,26,56,-5.44,-0.44,-5.88,101.7,107.4,-5.7,93.6,0.253,0.235,0.525,13.9,22.4,0.193,0.504,75.5,0.211,2014
Los Angeles Lakers,26.8,27.0,55.0,25,57,-6.29,0.96,-5.33,104.2,110.6,-6.4,98.7,0.263,0.291,0.542,13.7,20.2,0.199,0.513,71.0,0.192,2014
Utah Jazz,24.5,25.0,57.0,22,60,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,13.9,25.5,0.202,0.518,74.5,0.227,2014
Milwaukee Bucks,24.7,15.0,67.0,20,62,-8.18,-0.23,-8.41,103.0,111.8,-8.8,91.8,0.274,0.231,0.519,14.1,27.1,0.204,0.52,71.4,0.225,2014
Philadelphia 76ers,23.4,19.0,63.0,16,66,-10.45,-0.21,-10.66,99.4,109.9,-10.5,99.2,0.268,0.258,0.51,14.8,24.8,0.19,0.524,72.4,0.244,2014
League Average,26.6,,,41,41,0.0,0.0,0.0,106.7,106.7,,93.9,0.284,0.259,0.541,13.6,25.5,0.215,0.501,74.5,0.215,2014
Golden State Warriors*,26.6,67.0,15.0,65,17,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.239,0.311,0.571,13.1,24.1,0.184,0.47,74.5,0.217,2015
Los Angeles Clippers*,28.8,56.0,26.0,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,11.6,22.8,0.215,0.493,75.7,0.231,2015
San Antonio Spurs*,29.8,55.0,27.0,58,24,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,13.1,23.4,0.2,0.484,77.3,0.19,2015
Atlanta Hawks*,27.8,60.0,22.0,56,26,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,13.5,21.4,0.201,0.492,73.4,0.185,2015
Cleveland Cavaliers*,26.9,53.0,29.0,53,29,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,13.4,26.8,0.216,0.502,74.7,0.177,2015
Portland Trail Blazers*,27.0,51.0,31.0,53,29,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,12.6,24.2,0.18,0.476,76.2,0.182,2015
Houston Rockets*,27.6,56.0,26.0,50,32,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.312,0.392,0.548,15.0,26.8,0.223,0.486,72.9,0.208,2015
Memphis Grizzlies*,29.6,55.0,27.0,50,32,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.276,0.184,0.531,12.6,24.7,0.214,0.492,75.3,0.183,2015
Toronto Raptors*,26.1,49.0,33.0,49,33,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,12.0,25.6,0.232,0.506,73.3,0.208,2015
Chicago Bulls*,28.8,50.0,32.0,50,32,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,12.9,27.0,0.238,0.473,74.4,0.182,2015
Dallas Mavericks*,29.9,50.0,32.0,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,11.9,23.6,0.197,0.503,72.2,0.204,2015
Oklahoma City Thunder,25.4,45.0,37.0,47,35,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.284,0.262,0.532,13.1,28.9,0.214,0.489,75.6,0.213,2015
New Orleans Pelicans*,25.3,45.0,37.0,43,39,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.263,0.233,0.537,12.5,27.1,0.198,0.496,75.1,0.195,2015
Washington Wizards*,28.6,46.0,36.0,43,39,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,14.0,24.9,0.192,0.481,77.3,0.21,2015
Milwaukee Bucks*,24.6,41.0,41.0,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,15.5,25.4,0.195,0.487,73.3,0.221,2015
Indiana Pacers,28.3,38.0,44.0,42,40,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.266,0.255,0.523,13.1,24.0,0.201,0.478,77.9,0.217,2015
Utah Jazz,23.4,38.0,44.0,42,40,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,14.6,29.1,0.214,0.491,76.3,0.199,2015
Boston Celtics*,25.0,40.0,42.0,41,41,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,12.5,24.7,0.176,0.494,75.0,0.208,2015
